CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41701345,APANI,Brooklyn,1520,SHEEPSHEAD BAY ROAD,11235,6463631509,Eastern European,2022-12-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,2022-12-14,2025-09-18,Cycle Inspection / Re-inspection,40.587254705661,-73.953681536425,315,48,060600,3323043,3074590096,BK17,
50136802,"HERITAGE GRAND BAKERY, RESTAURANT & PIZZA BAR",Manhattan,8,WEST   40 STREET,10018,9172096177,Mediterranean,2025-08-27,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,31,Z,2025-08-27,2025-09-18,Cycle Inspection / Re-inspection,40.75237746221,-73.982289137444,105,04,008400,1016048,1008410054,MN17,
50133225,MINT MASALA,Manhattan,95,MACDOUGAL STREET,10012,2127772888,Indian,2024-04-11,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,36,C,2024-04-11,2025-09-18,Cycle Inspection / Re-inspection,40.729391434692,-74.001006647563,102,02,006500,1008735,1005420053,MN23,
50053135,SUZY'S ROTI PARLOUR,Brooklyn,907,CHURCH AVENUE,11218,7182828190,Caribbean,2023-05-04,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,9,A,2023-05-04,2025-09-18,Cycle Inspection / Re-inspection,40.646421431512,-73.970746366209,314,40,050600,3116302,3050700032,BK42,
50138652,POPRICE,Queens,16216,UNION TPKE,11366,9179126591,Asian/Asian Fusion,2023-08-31,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,12,A,2023-08-31,2025-09-18,Cycle Inspection / Initial Inspection,40.721151181339,-73.805362174228,408,24,126500,4148494,4068570053,QN38,
50040819,SUBWAY,Staten Island,9,FERRY TERMINAL DR,10301,7187272197,Sandwiches,2025-06-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,32,,,2025-09-18,Cycle Inspection / Initial Inspection,40.643860303619,-74.072900655177,501,49,000300,5141706,5000020001,SI22,
50017757,DUNKIN,Queens,2517,PARSONS BLVD,11354,7183538327,American,2024-08-19,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7,A,2024-08-19,2025-09-18,Cycle Inspection / Re-inspection,40.776151359794,-73.824405614874,407,20,104700,4108020,4047790009,QN51,
41283963,PAPA JOHN'S,Brooklyn,5804,5 AVENUE,11220,7189217272,Pizza,2022-01-26,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2022-01-26,2025-09-18,Cycle Inspection / Re-inspection,40.640525637746,-74.015090336292,307,38,007400,3397962,3008550037,BK32,
50054222,CHEZ OSKAR,Brooklyn,373,DECATUR STREET,11233,9179304302,French,2023-05-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,,,2025-09-18,Cycle Inspection / Initial Inspection,40.681923536304,-73.929303787234,303,36,029700,3047163,3016760047,BK61,
50133518,"MY KITCHEN FLAVOR CATERING, LLC.",Bronx,269A,WEST  231 STREET,10463,6463591056,Latin American,2024-09-23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,38,C,2024-09-23,2025-09-18,Pre-permit (Operational) / Re-inspection,40.880161314398,-73.907206513131,208,11,028900,2100465,2057080104,BX29,
50115858,FORTUNE HOUSE,Brooklyn,82,HENRY STREET,11201,3475650803,Chinese,2022-05-02,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,2022-05-02,2025-09-18,Pre-permit (Operational) / Re-inspection,40.69839452442,-73.992570874087,302,33,000100,3001701,3002260026,BK09,
50083886,ST ENDS,Brooklyn,667,FRANKLIN AVENUE,11238,3474137558,Bottled Beverages,2024-02-06,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,35,C,2024-02-06,2025-09-18,Cycle Inspection / Re-inspection,40.675643182321,-73.956157929789,308,35,022100,3030864,3012240010,BK61,
50073224,SAMMY'S HALAL,Manhattan,109,1 AVENUE,10003,9179652009,Mediterranean,2024-08-13,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,26,B,2024-08-13,2025-09-18,Cycle Inspection / Re-inspection,40.726769320686,-73.98589666698,103,02,003800,1006285,1004480029,MN22,
50152534,NIUKEE SHUMAI,Manhattan,394,BROOME STREET,10013,6466660881,Asian/Asian Fusion,2024-08-13,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.720605404598,-73.997088684313,102,01,004100,1007204,1004810035,MN24,
41073604,BIG BOOTY BREAD,Manhattan,261,WEST   23 STREET,10011,2124143056,Bakery Products/Desserts,2025-07-17,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,50,,,2025-09-18,Cycle Inspection / Initial Inspection,40.744789532083,-73.997282503642,104,03,009100,1084991,1007730012,MN13,
50121138,MOLLUSCA,Manhattan,1,LITTLE WEST   12 STREET,10014,2129701818,Seafood,2023-03-26,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,2023-03-26,2025-09-18,Pre-permit (Operational) / Re-inspection,40.73944810039,-74.005975845698,102,03,007900,1080224,1006280001,MN23,
50078218,MEAL MART,Queens,7210,MAIN ST,11367,7182613300,Jewish/Kosher,2023-11-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2023-11-08,2025-09-18,Cycle Inspection / Initial Inspection,40.726346102347,-73.821669075826,408,24,077902,4143394,4066210002,QN37,
50145354,NOODLE QUEEN,Brooklyn,1705,86 STREET,11214,3472546330,Chinese,2025-01-03,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,,,2025-09-18,Cycle Inspection / Initial Inspection,40.60846471856,-74.004631522632,311,43,017800,3165751,3063430076,BK27,
50106740,AROMA RESTAURAT & BAR,Bronx,5523,BROADWAY,10463,6462367334,Spanish,2022-09-29,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.877517014856,-73.905818008959,208,11,028900,2083136,2057000095,BX29,
41475669,KING WOK KITCHEN,Queens,10829,ASCAN AVENUE,11375,7182633900,Chinese,2024-12-11,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,2024-12-11,2025-09-18,Cycle Inspection / Initial Inspection,40.718035604403,-73.840778391317,406,29,073700,4077932,4032550067,QN17,
50067088,MAMA KITCHEN NY,Brooklyn,7,ROCHESTER AVENUE,11233,7187713038,Jewish/Kosher,2024-07-29,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2024-07-29,2025-09-18,Cycle Inspection / Initial Inspection,40.678883862968,-73.927374573754,303,41,029900,3047997,3017030003,BK61,
50127665,LOQMA CAFE,Brooklyn,1509,VOORHIES AVENUE,11235,3472231394,Turkish,2022-09-29,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,61,,,2025-09-18,Pre-permit (Non-operational) / Initial Inspection,40.585742333407,-73.953696990466,315,48,060600,3204940,3074590063,BK17,
50090747,FLAME HIBACHI AND SUSHI,Bronx,5740,BROADWAY,10463,7188842828,Japanese,2024-10-02,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31,,,2025-09-18,Cycle Inspection / Initial Inspection,40.882860546792,-73.901998704476,208,11,028300,2127424,2032690026,BX29,
41631538,VIVE LA CREPE,Manhattan,189,COLUMBUS AVENUE,10023,8552737369,French,2023-06-22,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.775131202921,-73.98044168523,107,06,015300,1028437,1011210001,MN14,
50077338,HOTEL RIU PLAZA NEW YORK TIMES SQUARE,Manhattan,305,WEST   46 STREET,10036,6468641100,American,2024-01-31,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7,A,2024-01-31,2025-09-18,Cycle Inspection / Re-inspection,40.760005931921,-73.98842723593,104,03,012700,1089717,1010370034,MN15,
41134842,WAITING ON A FRIEND,Manhattan,206,AVENUE A,10009,9108183381,American,2025-05-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,N,,2025-09-18,Cycle Inspection / Initial Inspection,40.7295600338,-73.980956633073,103,02,003400,1005202,1004060007,MN22,
50115447,SIPPY CAFE,Brooklyn,153,REMSEN STREET,11201,3479779167,Coffee/Tea,2023-01-23,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,12,A,2023-01-23,2025-09-18,Cycle Inspection / Re-inspection,40.693451163739,-73.992185573957,302,33,000900,3425984,3002500016,BK09,
50114299,SERENECO,Brooklyn,113,FRANKLIN STREET,11222,9144177306,New American,2023-04-25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,2023-04-25,2025-09-18,Pre-permit (Operational) / Re-inspection,40.729976480659,-73.957623009713,301,33,056500,3337033,3025570024,BK76,
50127583,POPEYES,Manhattan,305,6 AVENUE,10014,3477017760,Chicken,2024-04-11,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2024-04-11,2025-09-18,Cycle Inspection / Initial Inspection,40.730717149412,-74.001616441272,102,03,006700,1010081,1005890041,MN23,
50106846,PAPPA RICH RESTAURANT,Queens,3916,PRINCE ST,11354,8177032073,Asian/Asian Fusion,2023-04-27,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,25,,,2025-09-18,Cycle Inspection / Initial Inspection,40.75947767553,-73.832243080099,407,20,087100,4539244,4049737501,QN22,
41268000,THE GUTTER,Brooklyn,200,NORTH   14 STREET,11249,7183873585,American,2024-01-30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2024-01-30,2025-09-18,Cycle Inspection / Initial Inspection,40.722883195344,-73.955488169884,301,33,055700,3335587,3022790015,BK73,
50128657,KATSU KATSU,Manhattan,100,PEARL STREET,10004,9176717866,Asian/Asian Fusion,2023-06-02,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,73,C,2023-06-02,2025-09-18,Pre-permit (Operational) / Re-inspection,40.704279137344,-74.009784953715,101,01,000900,1000855,1000307501,MN25,
50045367,TAQUERIA LUPITA II,Bronx,1770,EAST TREMONT AVENUE,10460,3472819185,Mexican,2024-07-12,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,2024-07-12,2025-09-18,Cycle Inspection / Initial Inspection,40.839836562594,-73.868671917555,209,18,021800,2028564,2039180026,BX08,
50049096,TAJ MAHAL LOUNGE,Queens,2527,STEINWAY ST,11103,7187281950,Middle Eastern,2024-11-25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,2024-11-25,2025-09-18,Cycle Inspection / Initial Inspection,40.767559283082,-73.911992199166,401,22,014300,4011431,4006840135,QN70,
41705765,SHANGHAI BROADWAY RESTAURANT,Manhattan,150,WEST   36 STREET,10018,6468707509,Asian/Asian Fusion,2022-06-13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,2025-09-18,Cycle Inspection / Initial Inspection,40.751785389645,-73.988551384845,105,03,010900,1015232,1008110060,MN17,
50136760,AMERICAN RESTAURANT,Manhattan,1467,AMSTERDAM AVENUE,10027,6464498686,Mexican,2025-05-13,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,47,,,2025-09-18,Cycle Inspection / Initial Inspection,40.817178491628,-73.953473926771,109,09,021303,1059636,1019700065,MN06,
41669959,DUNKIN,Manhattan,139,CENTRE STREET,10013,2126191222,Donuts,2023-08-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,2023-08-02,2025-09-18,Cycle Inspection / Initial Inspection,40.717210162211,-74.000602434767,101,01,003100,1002357,1001977502,MN24,
50063522,CECCONI'S,Brooklyn,55,WATER STREET,11201,6462152136,Italian,2024-10-27,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,25,,,2025-09-18,Cycle Inspection / Initial Inspection,40.703293906326,-73.992047363499,302,33,002100,3000019,3000260050,BK38,
50128561,HARRY BAGELS,Manhattan,520,8 AVENUE,10018,6468283371,Bagels/Pretzels,2024-12-02,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot TCS food item not held at or above 140 °F.,Critical,111,,,2025-09-18,Cycle Inspection / Re-inspection,40.753605486254,-73.992416708652,105,03,010900,1083624,1007860001,MN17,
50001966,BAR CONTRA,Manhattan,138,ORCHARD STREET,10002,2124664633,New American,2025-05-27,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,20,Z,2025-05-27,2025-09-18,Cycle Inspection / Re-inspection,40.720017557117,-73.989245904287,103,01,001800,1005308,1004100010,MN27,
41394975,LA FONTANA,Staten Island,2879,AMBOY ROAD,10306,7186674343,Italian,2023-12-19,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2023-12-19,2025-09-18,Cycle Inspection / Re-inspection,40.568162210654,-74.12611639977,503,50,013800,5059705,5043610043,SI25,
41687110,KIKU JAPANESE CUISINE,Staten Island,3838,RICHMOND AVENUE,10312,7186088589,Japanese,2024-07-29,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,23,,,2025-09-18,Cycle Inspection / Initial Inspection,40.544509607521,-74.165444939498,503,51,017011,5073859,5055900006,SI01,
50139782,MIDTOWN BIKE CAFE,Manhattan,234,WEST   39 STREET,10018,3476367943,Coffee/Tea,2023-08-21,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,10,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.754587876533,-73.989456867212,105,03,011300,1014487,1007880066,MN17,
50010699,ALBERT'S COFFEE SHOP,Bronx,405,HUNTS POINT AVENUE,10474,7183286500,American,2023-07-14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,2023-07-14,2025-09-18,Cycle Inspection / Initial Inspection,40.809742798804,-73.880901810634,202,17,009300,2006921,2027720217,BX27,
50155804,ETNA ESPRESSO BAR,Brooklyn,211,AVENUE U,11223,6468211537,Coffee/Tea,2024-08-13,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,25,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.596651523832,-73.976209147963,311,47,040000,3191275,3071010048,BK29,
50157303,QUILOX,Brooklyn,9505,CHURCH AVENUE,11212,6309409481,"Juice, Smoothies, Fruit Salads",2024-12-27,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,11,A,2024-12-27,2025-09-18,Pre-permit (Operational) / Re-inspection,40.655232699641,-73.916181071861,317,41,089000,3102649,3046920053,BK96,
50010372,WILDACRE ROTISSERIE,Manhattan,101,MAIDEN LANE,10038,9292647877,Chicken,2024-11-20,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,2024-11-20,2025-09-18,Cycle Inspection / Initial Inspection,40.70695548683,-74.00709104103,101,01,001502,1087832,1000690006,MN25,
50081711,HAPPY GATHERING,Queens,3220,34TH AVE,11106,7183498855,Chinese,2023-11-06,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2023-11-06,2025-09-18,Cycle Inspection / Initial Inspection,40.759173097904,-73.926225448918,401,26,005700,4008196,4006090029,QN70,
50011935,MANUEL E RESTAURANT,Queens,10328,CORONA AVE,11368,7186990003,Latin American,2022-09-23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2022-09-23,2025-09-18,Cycle Inspection / Re-inspection,40.744074919614,-73.859445900668,404,21,041300,4047413,4019290071,QN25,
50169066,LA PANTERA 93 BAR RESTAURANT CORP.,Queens,9213,ROOSEVELT AVE,11372,9179724953,,1900-01-01,,,,Not Applicable,,,,2025-09-18,,40.748667510058,-73.874146897929,403,21,027500,4036457,4014800039,QN28,
50147215,REY'S SMOOTHIE,Bronx,1320,JEROME AVENUE,10452,3473733485,"Juice, Smoothies, Fruit Salads",2024-09-05,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,142,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.838494168456,-73.918916382674,204,16,022101,2008044,2028400001,BX63,
50106895,LIVE LONG JUICE BAR,Queens,13120,MERRICK BLVD,11434,7023470110,"Juice, Smoothies, Fruit Salads",2023-11-28,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,2025-09-18,Administrative Miscellaneous / Re-inspection,40.679288719164,-73.760868671764,412,27,035200,4279643,4129830031,QN08,
50144942,IHOP,Queens,2161,31ST ST,11105,2014084020,American,2025-01-28,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,9,A,2025-01-28,2025-09-18,Cycle Inspection / Re-inspection,40.77688971418,-73.909748443942,401,22,011300,4016921,4008310001,QN72,
50087832,MAMA ROSA'S RESTAURANT,Queens,4006,JUNCTION BLVD,11368,9292080065,Spanish,2024-01-02,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,2024-01-02,2025-09-18,Cycle Inspection / Initial Inspection,40.748986017855,-73.869338939372,404,21,046500,4039789,4015940032,QN29,
50167330,ATRIUM,Manhattan,590,MADISON AVENUE,10022,7043285184,,1900-01-01,,,,Not Applicable,,,,2025-09-18,,40.762138637388,-73.972478605572,105,04,011202,1035778,1012920015,MN17,
50081453,MELT SHOP,Staten Island,2655,RICHMOND AVENUE,10314,9173889488,American,2024-07-03,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2024-07-03,2025-09-18,Cycle Inspection / Initial Inspection,40.582297419955,-74.169052592685,502,51,027702,5039658,5024000180,SI24,
50098773,MCDONALD'S,Brooklyn,606,NEPTUNE AVENUE,11224,7189961029,Hamburgers,2023-10-11,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.579919055499,-73.975081146998,313,48,035400,3336563,3072700025,BK23,
50113340,JUICERY HARLEM,Manhattan,370,LENOX AVENUE,10027,6463937553,"Juice, Smoothies, Fruit Salads",2023-03-21,Violations were cited in the following area(s).,19-05,Providing single-use plastic stirrers or single-use plastic splash sticks.,Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.810037834945,-73.943812034529,110,09,020800,1053712,1017260069,MN03,
50004307,KFC,Queens,9015,QUEENS BLVD,11373,7186990145,American,2022-03-22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2022-03-22,2025-09-18,Cycle Inspection / Initial Inspection,40.733840182011,-73.871577033806,404,25,068300,4045999,4018600100,QN29,
41168644,TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235,7186760783,Russian,2025-05-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.587828989353,-73.955247301157,315,48,060600,3389066,3074590001,BK17,
40364296,HAPPY GARDEN,Bronx,277,EAST KINGSBRIDGE ROAD,10458,7182955588,Chinese,2025-02-26,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,76,,,2025-09-18,Cycle Inspection / Initial Inspection,40.863648812188,-73.894239617341,207,15,039901,2016817,2032930106,BX05,
41485097,NEW WONJO,Manhattan,23,WEST   32 STREET,10001,2126955815,Korean,2024-06-18,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,2024-06-18,2025-09-18,Cycle Inspection / Initial Inspection,40.747508809168,-73.986332562507,105,04,007600,1015848,1008340028,MN17,
50082483,PARIS BAGUETTE,Queens,8816,NORTHERN BLVD,11372,7184580260,Bakery Products/Desserts,2022-03-30,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11,A,2022-03-30,2025-09-18,Cycle Inspection / Initial Inspection,40.756155526055,-73.879543358204,403,25,027700,4437127,4014360006,QN28,
41191438,CHERYL'S GLOBAL SOUL,Brooklyn,236,UNDERHILL AVENUE,11238,3475392855,American,2024-12-04,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,34,,,2025-09-18,Cycle Inspection / Initial Inspection,40.673478521919,-73.967273633865,308,35,020700,3029365,3011720040,BK64,
50078860,A FEI CHINESE RESTAURANT,Brooklyn,553,THROOP AVENUE,11216,7184535205,Chinese,2024-07-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,2024-07-08,2025-09-18,Cycle Inspection / Initial Inspection,40.683159795521,-73.940966411926,303,36,027500,3052864,3018410001,BK35,
40834713,DIM SUM GO GO,Manhattan,5,EAST BROADWAY,10038,2127320796,Chinese,2022-09-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8,A,2022-09-27,2025-09-18,Cycle Inspection / Re-inspection,40.713496471279,-73.997821256001,103,01,002700,1003382,1002790063,MN27,
50015619,THE BONNIE,Queens,2912,23RD AVE,11105,7182742105,American,2024-09-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,,,2025-09-18,Cycle Inspection / Initial Inspection,40.774938493062,-73.91370824491,401,22,011500,4017500,4008420068,QN72,
