_id,APPLICATION#,APPLICATION_TYPE,DATE_SUBMITTED,DESCRIPTION,HEARING_DATE,POSTAL,REFERENCE_FILE#,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,X,Y
863020,17 262415 WET 06 OZ,OZ,2017-11-14,"This application proposes to amend the Zoning By-laws to permit a 26-storey mixed use building with an 8-storey podium.  The development would have a total of 29,929 m2 of gross floor area, of which 2,371 m2 would be for non-residential uses.  The development would contain approximately 385 residential units and a total of 258 vehicular parking spaces.  An Official Plan Amendment (under File Number 16 269352 WET 06 OZ) was submitted in December 2016, was refused by City Council in May 2017 and is currently under appeal to the Ontario Municipal Board.  This Zoning By-law Amendment application is currently under appeal to the Ontario Municipal Board.",,   ,,Appeal Received, ,AUDLEY,25,ST,305194.592,4830815.575
863021,17 146641 ESC 36 MV,MV,2017-04-20,The applicant is seeking relief from the provisions of the Zoning By-law to construct a new two storey single family residential dwelling.,2017-08-10,M1M,A0138/17SC,Closed, ,BROOKLAWN,112,AVE,326138.495,4841950.942
863022,20 117687 ESC 20 MV,MV,2020-02-21,Proposed new single family detached house.,2020-07-10,M1M,A0047/20SC,Closed, ,BROOKLAWN,112,AVE,326138.495,4841950.942
863023,12 125559 NNY 25 SA,SA,2012-02-21,New single family dwelling with an integral garage (347 m2),,   ,,Closed, ,DALEBERRY,22,PL,314680.964,4845007.719
863024,18 178689 STE 28 CD,CD,2018-06-15,Draft Plan of Standard Condominium application for Block 26 (Phase 3 - Regent Park) to create 343 dwelling units within a mixed-use development comprised of a 27-storey tower and 6 storey podium with two levels of below-grade parking.,,   ,,Draft Plan Approved,E,DUNDAS,647,ST,316062.476,4835414.454
863025,11 255341 STE 22 OZ,OZ,2011-08-11,OPA and Rezoning application for a new 11 storey mixed use building - 109 residential suites - 3 levels below grade parking - 125 bicycle parking spaces - 4 retail units at grade.,,   ,,Closed, ,JACKES,6,AVE,313448.956,4838159.272
863026,15 247245 STE 22 OZ,OZ,2015-11-04,Revised proposal for one 21-storey residential tower including a 3-storey base building at 174-188 Soudan Avenue and 71 and 73 Redpath Avenue.  The proposed development site no longer includes the property at 18 Brownlow Avenue.,,M4S,,Closed, ,SOUDAN,194,AVE,313561.33,4840446.609
863027,19 130999 NNY 15 MV,MV,2019-03-26,To construct a rear two storey addition and a concrete deck.,2019-05-23,M4N,A0218/19NY,Closed, ,ROCHESTER,55,AVE,313508.614,4842453.076
863028,13 221429 ESC 38 OZ,OZ,2013-08-15,"Rezoning application to create 86 townhouse units and a new public road. A mixtures of freehold street townhouses with integral garages, street townhouses with rear parking and and back-to-back townhouses are proposed. An open space land dedication is proposed along the south property line to be combined with the existing open space to the south.",,   ,,Closed, ,PRINGDALE GARDENS,123,CRCL,325361.662,4844499.731000001
863029,13 199558 STE 27 OZ,OZ,2013-07-05,"Rezoning application to permit a 55-storey residential tower fronting Charles Street East connected to a 8-storey office building fronting Hayden Street.  The overall development would have a total gross floor area of 45,764 square metres, with 36,598 square metres of residential floor area (622 dwelling units) and 9,166 square metres of non-residential floor area.  A total of 213 automobile parking spaces are proposed in a four level underground parking garage.",,M4Y,,Closed, ,HAYDEN,59,ST,314148.159,4836431.553
863030,14 137806 ESC 44 OZ,OZ,2014-04-03,The applicant proposes to obtain approval to permit 3 semi-detached lots (6 dwelling units) and 14 single detached lots on a new 18. 5 m wide public street as the original proposal contemplated a similar proposal on a 16.5 metre public road.,,   ,,Closed, ,CULLODEN,8,CRT,332294.07899999997,4849918.432
863031,14 137806 ESC 44 OZ,OZ,2014-04-03,The applicant proposes to obtain approval to permit 3 semi-detached lots (6 dwelling units) and 14 single detached lots on a new 18. 5 m wide public street as the original proposal contemplated a similar proposal on a 16.5 metre public road.,,M1C,,Closed, ,KINGSTON,6437,RD,332290.907,4849939.2360000005
863032,19 219687 WET 03 CO,CO,2019-09-11,,,M8V,B0059/19EYK,Postponed, ,NEW TORONTO,292,ST,303530.967,4829239.3889999995
863033,19 219706 WET 03 CO,CO,2019-09-11,,,M8V,B0060/19EYK,Postponed, ,NEW TORONTO,292,ST,303530.967,4829239.3889999995
863034,19 219722 WET 03 CO,CO,2019-09-11,To obtain consent to sever the property into two lots.,,M8V,B0061/19EYK,Accepted, ,NEW TORONTO,292,ST,303530.967,4829239.3889999995
863035,14 137806 ESC 44 OZ,OZ,2014-04-03,The applicant proposes to obtain approval to permit 3 semi-detached lots (6 dwelling units) and 14 single detached lots on a new 18. 5 m wide public street as the original proposal contemplated a similar proposal on a 16.5 metre public road.,,M1C,,Closed, ,KINGSTON,6441,RD,332316.149,4849965.017
863036,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,127,RD,306765.653,4843758.87
863037,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,129,RD,306764.772,4843765.549
863038,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,129,RD,306764.772,4843765.549
863039,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,131,RD,306764.11199999996,4843771.494
863040,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,131,RD,306764.11199999996,4843771.494
863041,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,133,RD,306764.269,4843776.533
863042,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,133,RD,306764.269,4843776.533
863043,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,61,RD,306790.506,4843568.091
863044,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,97,RD,306777.00399999996,4843668.205
863045,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,99,RD,306776.07399999996,4843674.231000001
863046,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,99,RD,306776.07399999996,4843674.231000001
863047,08 152515 ESC 44 OZ,OZ,2008-04-29,"Revised plans of subdivision, and corresponding rezoning, for 5 single detached lots on a public road with access to Sheppard Avenue East.  One single family dwelling per lot is proposed.  Previous revised concept plan in January 2010 showed 3 single lots on a private road.  The original plan submitted in 2008 showed 6 single lots on a public road.  These applications have been appealed to the OMB and are now time sensitive due to an upcoming rehearing date.  The related subdivision file number is 08152520 ESC 44 SB.",,   ,,Closed, ,ELAINE LENNOX,10,CRT,332399.827,4851492.964
863048,08 152515 ESC 44 OZ,OZ,2008-04-29,"Revised plans of subdivision, and corresponding rezoning, for 5 single detached lots on a public road with access to Sheppard Avenue East.  One single family dwelling per lot is proposed.  Previous revised concept plan in January 2010 showed 3 single lots on a private road.  The original plan submitted in 2008 showed 6 single lots on a public road.  These applications have been appealed to the OMB and are now time sensitive due to an upcoming rehearing date.  The related subdivision file number is 08152520 ESC 44 SB.",,   ,,Closed, ,ELAINE LENNOX,12,CRT,332426.227,4851504.344
863049,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,1,PL,316133.22000000003,4850783.536
863050,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,10,PL,316084.466,4850745.726
863051,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,11,PL,316120.94899999996,4850733.455
863052,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,12,PL,316086.456,4850729.806
863053,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,16,PL,316088.114,4850711.233
863054,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,18,PL,316092.094,4850692.992
863055,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,2,PL,316093.089,4850794.149
863056,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,20,PL,316102.044,4850682.379
863057,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,22,PL,316118.627,4850682.71
863058,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,28,PL,316141.18,4850683.705
863059,13 120931 NNY 24 OZ,OZ,2013-02-15,22 lots consisting of 2-storey single family dwellings.  Prelim Report deferred by Councillor (May 2013),,   ,,Closed, ,QUEEN MAGDALENE,30,PL,316149.804,4850686.69
863060,12 240757 ESC 36 OZ,OZ,2012-09-05,Proposed townhouse development consisting of 21 units in four building blocks to be serviced by a private laneway and two single detached dwellings fronting Brimley Rd.  The two dwellings on Brimley Road will be severed from the remainder of the property.,,   ,,OMB Appeal,E,ST CLAIR,3759 B,AVE,325672.767,4842131.462
863061,12 240757 ESC 36 OZ,OZ,2012-09-05,Proposed townhouse development consisting of 21 units in four building blocks to be serviced by a private laneway and two single detached dwellings fronting Brimley Rd.  The two dwellings on Brimley Road will be severed from the remainder of the property.,,   ,,OMB Appeal,E,ST CLAIR,3761 B,AVE,325681.225,4842133.985
863062,12 240757 ESC 36 OZ,OZ,2012-09-05,Proposed townhouse development consisting of 21 units in four building blocks to be serviced by a private laneway and two single detached dwellings fronting Brimley Rd.  The two dwellings on Brimley Road will be severed from the remainder of the property.,,   ,,OMB Appeal,E,ST CLAIR,3765 A,AVE,325696.434,4842138.807
863063,12 240757 ESC 36 OZ,OZ,2012-09-05,Proposed townhouse development consisting of 21 units in four building blocks to be serviced by a private laneway and two single detached dwellings fronting Brimley Rd.  The two dwellings on Brimley Road will be severed from the remainder of the property.,,   ,,OMB Appeal,E,ST CLAIR,3765 B,AVE,325700.589,4842140.143
863064,12 240757 ESC 36 OZ,OZ,2012-09-05,Proposed townhouse development consisting of 21 units in four building blocks to be serviced by a private laneway and two single detached dwellings fronting Brimley Rd.  The two dwellings on Brimley Road will be severed from the remainder of the property.,,   ,,OMB Appeal,E,ST CLAIR,3767 A,AVE,325704.69399999996,4842141.28
863065,14 230224 STE 28 SA,SA,2014-09-30,Phase 1 of a 2 phase development.  Phase 1 proposes the construction of a commercial building with a four-storey podium and two towers being 13 and 10 storeys high.  The proposal involves an underground garage with 498 parking spaces and a public park at the corner of Queens Quay East and Lower Jarvis Street.,,   ,,Closed, ,RICHARDSON,8,ST,315412.781,4833630.0819999995
863066,11 179526 NNY 10 OZ,OZ,2011-04-20,"The proposal seeks to subdivide the subject site for 8 lots for single detached dwellings, 27 lots for semi-detached dwellings, (for a total of 62 units), a new public through street and a new public cul-de-sac.",,   ,,Closed, ,GOLDTHREAD,39,TER,308715.624,4846686.4180000005
863067,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,119,RD,306768.478,4843734.36
863068,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,121,RD,306768.02,4843740.546
863069,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,121,RD,306768.02,4843740.546
863070,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,123,RD,306767.415,4843746.246
863071,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,123,RD,306767.415,4843746.246
863072,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,125,RD,306766.387,4843752.779
863073,20 143006 NNY 06 CD,CD,2020-05-06,"Draft Plan of Condominium Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Part Lot Control Exemption Application # 20 143007 NNY 06 PL (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Draft Plan Approved, ,WILLIAM DUNCAN,125,RD,306766.387,4843752.779
863074,20 143007 NNY 06 PL,PL,2020-05-06,"Part Lot Exemption Application to permit 155 freehold townhouses on Blocks 1, 2, 3 and 6 within the Stanley Greene Block G District Plan. Each townhouse has a single or double car garage that is accessed via an 8m common element laneway located at the rear of the townhouses. Garbage storage and pickup will occur in the common element laneway. This application is related to Common Element Condominium Application #20 143006 NNY 06 CD (parent Sub-division Approval File #15 172297 NNY 09 SB, and related Site Plan Application Files 16 268887 NNY 09 SA and 16 268941 NNY 09 SA). ",,   ,,Approved, ,WILLIAM DUNCAN,127,RD,306765.653,4843758.87
863075,13 275737 ESC 35 SA,SA,2013-12-09,"Site plan approval submission to permit the construction of 314 residential units, and a minimum of 50,000 square feet of commercial space.  Located along the Warden Avenue frontage at Deans Drive will be a mid-rise mixed use building containing a maximum of 130 apartment units and a minimum of 17,200 square feet of commercial space on the ground floor.  Two commercial totalling over 32,700 square feet are located further north on the site. The remainder of the site will be occupied by a stormwater management pond and a City park.",,   ,,Closed, ,MENDELSSOHN,93,ST,322366.61600000004,4841687.576
863076,10 294071 000 00 MV,MV,2010-11-09,"The applicant is seeking relief from the provisions of the Zoning By-law to recognize existing non conforming conditions.  NOTE: This proposal has been reviewed under the Birchcliff Community By-law, and the new Toronto Zoning By-law which was enacted by the City Council at its meeting on August 25-27, 2010.",2010-12-01,M1N,A234/10SC,Closed, ,BLANTYRE,108,AVE,322480.096,4837438.223
863077,16 116309 000 00 MV,MV,2016-02-12,To construct a new two-storey addition at the south rear portion of the existing dwelling.,2016-04-07,M4R,A0155/16NY,Closed, ,ALBERTUS,189,AVE,312401.316,4841254.755
863078,15 237447 000 00 MV,MV,2015-10-14,To alter the existing two-storey detached dwelling by constructing a one-storey rear addition. ,2016-01-06,M4V,A1025/15TEY,Closed, ,DUNLOE,24,RD,311833.586,4838920.515
863079,17 115789 NNY 16 MV,MV,2017-02-10,To construct a new three-storey dwelling. The existing dwelling would be demolished.,2017-04-20,M5N,A0124/17NY,OMB Appeal, ,LATIMER,23,AVE,311566.521,4840188.555
863080,18 271043 NNY 08 MV,MV,2018-12-21,TO construct a new two storey addition to the rear of the dwelling.,2019-02-21,M5N,A0869/18NY,Closed, ,ST CLEMENTS,514,AVE,311335.08,4840781.416999999
863081,17 117416 STE 22 MV,MV,2017-02-15,"To alter the existing two-storey detached dwelling by constructing a third-storey addition, three decks and to convert the dwelling into three dwelling units.",2017-06-14,M5P,A0177/17TEY,Closed, ,AVENUE,729,RD,312479.637,4839307.206
863082,15 213136 000 00 MV,MV,2015-08-26,To construct a new two-storey single detached dwelling with integral at-grade garage.,2015-11-18,M5P,A0867/15TEY,Closed, ,VESTA,314,DR,311304.941,4839463.078
863083,19 231581 WET 03 MV,MV,2019-10-03,To legalize and maintain a rear deck under construction. ,2019-11-07,M8V,A0502/19EYK,Deferred, ,DAISY,16,AVE,302833.615,4828521.601
863084,10 223162 WET 04 OZ,OZ,2010-07-19,To construct an 8 storey seniors' apartment building.,,M8X,,Closed,W,DUNDAS,4180,ST,303966.36,4835461.756
863085,11 307368 WET 04 OZ,OZ,2011-11-09,"Removal of the ""H"" Holding Symbol to allow the proposed development of an 8-storey seniors' apartment building.",,M8X,,Closed,W,DUNDAS,4180,ST,303966.36,4835461.756
863086,11 329597 WET 04 SA,SA,2011-12-21,To construct an 8-storey seniors apartment building with a total of 145 dwelling units.,,M8X,,Closed,W,DUNDAS,4180,ST,303966.36,4835461.756
863087,09 152687 000 00 MV,MV,2009-07-31,To construct a second storey addition over the existing single family dwelling.,2009-09-09,M1N,A137/09SC,Closed, ,NORTH,11,DR,322472.245,4838267.603
863088,20 149522 STE 04 MV,MV,2020-05-27,To construct a second storey addition.,2020-10-15,M6S,A0440/20TEY,Hearing Scheduled, ,SOUTH KINGSWAY,105, ,306496.41000000003,4833272.395
863089,17 120943 WET 13 MV,MV,2017-02-24,To construct a new front porch and a two-storey rear addition. ,2017-04-20,M6P,A0200/17EYK,Closed, ,GLENDONWYNNE,76,RD,306774.478,4834668.676
863090,14 249533 000 00 CO,CO,2014-11-07,To obtain consent to sever the property into two residential lots.  The retained lot will maintain the existing dwelling and the severed (conveyed) lot will be redeveloped as the site of a new residential dwelling fronting Jedburgh Road.  The existing detached garage will be demolished.,2015-01-22,M5M,B065/14NY,Closed, ,BEDFORD PARK,72,AVE,312302.69,4842783.04
863091,14 249535 000 00 MV,MV,2014-11-07,"To maintain the existing dwelling as constructed.  The variance request is a result of the related severance application (B065/14NY).  Committee of Adjustment applications B065/14NY, A877/14NY, and A878/14NY will be jointly considered.",2015-01-22,M5M,A877/14NY,Closed, ,BEDFORD PARK,72,AVE,312302.69,4842783.04
863092,10 118668 STE 20 SA,SA,2010-02-16,"Urban intensification for the northwest corner of Peter St and Richmond St. W.,  134 Peter St. will remain as is; 364-370 Richmond St. W. will become intergrated in the proposed 17 storey development. A new atrium/lobby will link the two existing  buildings to remain, on the ground floor - SEE 08 186740 ZPR - 08 209087 MV AND 08 229877 OA - FOR PPR, C OF A AND OMB.",,M5V,,Closed, ,PETER,134,ST,313345.97000000003,4834072.326
863093,15 169098 000 00 MV,MV,2015-06-05,To construct a new two-storey detached dwelling with an integral garage. The existing dwelling would be demolished.,2015-07-23,M2L,A0525/15NY,Closed, ,FIFESHIRE,57,RD,313713.215,4846039.054
863094,19 164750 NNY 15 OZ,OZ,2019-06-03,"Three storey townhouse development containing 7 dwelling units facing Bayview Avenue.  Vehicular parking to the townhouses will be accessed via a rear driveway from Valley Rd.  Each townhouse will have an integral double car garage.  In addition, 2 visitor parking spots are provided on the west side of the driveway.  ",,M2L,,Under Review , ,VALLEY,196,RD,314136.11,4844719.129
863095,19 164763 NNY 15 SA,SA,2019-06-03,"Three storey townhouse development containing 7 dwelling units facing Bayview Avenue.  Vehicular parking to the townhouses will be accessed via a rear driveway from Valley Rd.  Each townhouse will have an integral double car garage.  In addition, 2 visitor parking spots are provided on the west side of the driveway.  ",,M2L,,Under Review , ,VALLEY,196,RD,314136.11,4844719.129
863096,12 193918 STE 27 OZ,OZ,2012-06-15,"Rezoning application to permit a 50-storey tall residential tower including a 3-storey podium with grade related units for a total of 557 dwelling units.  The Gooderham mansion heritage building on the site would be relocated closer to Sherbourne Street with the residential tower to be located behind the building.  The application now inlcudes the property at 15 Selby Street with the existing building on the site being conserved,",,   ,,Closed, ,SELBY,25,ST,314705.756,4836585.294
863097,19 108748 ESC 25 MV,MV,2019-01-25,To construct a secondary suite in the basement of the existing single family dwelling.,2019-06-06,M1E,A0029/19SC,Deferred, ,BEECHGROVE,262,DR,331932.315,4848066.283
863098,17 239225 ESC 44 OZ,OZ,2017-09-26,"Proposed Zoning By-law Amendment application for a student residence building at the University of Toronto Scarborough.  The application is to allow for a 9-storey (32.85 m) building with a total Gross Floor Area (GFA) of 23,660 square metres.  The proposal includes 312 two-bedroom dormitory suites and one residential unit (approx 750 beds in total) along with 120 bicycle parking spaces (90 long term and 30 short term), 4 vehicle parking spaces and 2 loading spaces.",,M1C,,Closed, ,ELLESMERE,3300,RD,329966.577,4849551.414
