_id,Permit_No,Permit_Sticker_No,Permit_Class,Permit_Holder,Permit_Address_Street_No,Permit_Address_Street_Name,Permit_Address_Unit,Permit_Address_Postal_Code,Permit_Address_Ward,Permit_Contact_Phone_No_,Issue_Date,Cancellation_Date,geometry
157169,P90-4425809,P09143,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1A,RICHVIEW RD,,M9A4M5,2,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5127724444, 43.6844543461)}"
157170,P90-4425805,P09144,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,FINCH AVE E,B,M2N6H8,18,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4110962225, 43.7801894874)}"
157171,P90-4425793,P07879,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,550,SCARBOROUGH GOLF CLUB RD,,M1G1H6,24,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2171129347, 43.7607487105)}"
157172,P90-4425792,P09145,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,550,SCARBOROUGH GOLF CLUB RD,,M1G1H6,24,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2171129347, 43.7607487105)}"
157173,P90-4425833,P09140,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,680,QUEENS QUAY W,,M5V2Y9,10,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.400105951, 43.635213117)}"
157174,P90-4425744,P09148,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,150,GRAYDON HALL DR,,M3A3B2,16,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3428279656, 43.7656767876)}"
157175,P90-4425730,P09149,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1,BIGGIN CRT,,M4A1L9,16,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3050102685, 43.7284796451)}"
157176,P90-4425811,P09141,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,10,ALTON TOWERS CIR,,M1V5A1,23,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.27363864, 43.823168583)}"
157177,P90-4425769,P09147,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2677,KIPLING AVE,,M9V4P1,1,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.584064323, 43.749099512)}"
157178,P90-4425810,P09142,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1B,RICHVIEW RD,,M9A4M6,2,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5129658913, 43.684897988)}"
157179,P90-4313855,P08794,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,5460,YONGE ST,,M2N6K7,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4155280699, 43.7772138133)}"
157180,P90-4313846,P08795,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,4695,YONGE ST,,M2N5M3,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4099720682, 43.7589500349)}"
157181,P90-4313838,P08796,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1240,WOODBINE AVE,,M4C4E4,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3162899442, 43.6930343973)}"
157182,P90-4313837,P08797,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,4700,KEELE ST,,M3J1P3,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.502338172, 43.773410085)}"
157183,P90-4313834,P08798,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,33,WINONA DR,,M6G3Z7,12,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4306161802, 43.6764174359)}"
157184,P90-4313817,P08799,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,116,WINNERS CIR,,M4L3Z7,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3104109762, 43.6671969604)}"
157185,P90-4313816,P08800,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,9,WILLINGDON BLVD,,M8X2H1,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.510075497, 43.648394178)}"
157186,P90-4313811,P08801,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3325,WARDEN AVE,,M1W3L6,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3238057728, 43.8140505938)}"
157187,P90-4313808,P08816,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1385,WARDEN AVE,,M1R2S3,21,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.299295817, 43.7580829023)}"
157188,P90-4313804,P08817,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2167,VICTORIA PARK AVE,,M1R1V5,21,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3153290978, 43.7589316816)}"
157189,P90-4313803,P08818,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1850,VICTORIA PARK AVE,,M1R1T1,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3112631324, 43.7409546826)}"
157190,P90-4313795,P08819,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1150,VICTORIA PARK AVE,,M4B2K4,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2961282025, 43.7083404026)}"
157191,P90-4313794,P08820,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,201,VAN HORNE AVE,,M2J2T7,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.353703275, 43.786395807)}"
157192,P90-4313793,P08821,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,65,VAN HORNE AVE,,M2J2S8,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3600738194, 43.7848625599)}"
157193,P90-4313779,P08822,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,20,TRENT AVE,,M4C5R9,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.296041897, 43.688688452)}"
157194,P90-4313780,P08823,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,83,UNDERHILL DR,,M3A2J8,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3256197225, 43.7463847091)}"
157195,P90-4313777,P08824,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,58,THREE VALLEYS DR,,M3A3B5,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3364020587, 43.7520379176)}"
157196,P90-4313774,P08825,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,79,THORNCLIFFE PARK DR,,M4H1L5,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.341500497, 43.7061382965)}"
157197,P90-4313765,P08826,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,75,THORNCLIFFE PARK DR,,M4H1L4,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.341449141, 43.705284648)}"
157198,P90-4313763,P08827,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,35,THORNCLIFFE PARK DR,,M4H1J3,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.345105079, 43.701969776)}"
157199,P90-4313762,P08828,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,716,THE WEST MALL,,M9C4X6,2,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5707858093, 43.656266575)}"
157200,P90-4313758,P08802,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,714,THE WEST MALL,,M9C4X1,2,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5712675078, 43.6561334439)}"
157201,P90-4313757,P08803,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1233,THE QUEENSWAY,,M8Z1S1,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.524602859, 43.621133047)}"
157202,P90-4313754,P08804,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1233,THE QUEENSWAY,,M8Z1S1,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.524602859, 43.621133047)}"
157203,P90-4313742,P08805,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,7,ST DENNIS DR,,M3C1E4,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3362293241, 43.7160160974)}"
157204,P90-4313736,P08806,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1369,ST CLAIR AVE W,,M6E1C5,9,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.451396606, 43.675330791)}"
157205,P90-4313707,P08807,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2636,ST CLAIR AVE E,,M4B3M1,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3138000641, 43.7053902944)}"
157206,P90-4313575,P08808,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,277,ORTON PARK RD,,M1G3T4,24,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.21084706, 43.777425312)}"
157207,P90-4313577,P08809,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,17,RIVERVIEW GDNS,,M6S4E6,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4862189385, 43.6491702937)}"
157208,P90-4313576,P08810,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,95,QUEENS QUAY E,,M5E1A3,10,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3704011103, 43.6425570049)}"
157209,P90-4313652,P08811,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,5085,SHEPPARD AVE E,,M1S4N8,23,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2408813995, 43.7926202341)}"
157210,P90-4313651,P08812,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,5085,SHEPPARD AVE E,,M1S4N8,23,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2408813995, 43.7926202341)}"
157211,P90-4313650,P08813,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2,SECORD AVE,,M4C2C3,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3015992191, 43.6931298568)}"
157212,P90-4313648,P08814,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,110,RUMSEY RD,,M4G1P2,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.36717294, 43.705725671)}"
157213,P90-4313588,P08815,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,105,ROWENA DR,,M3A1R2,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3141615592, 43.7508131192)}"
157214,P90-4313581,P08829,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2187,BLOOR ST W,,M6S1N2,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4747805108, 43.6511083309)}"
157215,P90-4313580,P08830,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1530,BIRCHMOUNT RD,,M1P2G9,21,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.291379702, 43.7592937783)}"
157216,P90-4313644,P08831,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,11,RUDDINGTON DR,,M2K2J6,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3916951012, 43.7877925781)}"
157217,P90-4313642,P08832,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,575,ROYAL YORK RD,,M8Z1X2,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5025092562, 43.6268979357)}"
157218,P90-4313573,P08833,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,7,NORTON AVE,,M6E1E1,9,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4435963435, 43.6784977279)}"
157219,P90-4313571,P08834,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,5,NEEDLE FIR WAY,,M3N2B9,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.518797427, 43.752566895)}"
157220,P90-4313569,P08835,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,321,MOORE AVE,,M4G3T6,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3695084523, 43.6969690158)}"
157221,P90-4313567,P08791,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,44,MONTGOMERY RD,,M8X1Z4,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5201142137, 43.6490967075)}"
157222,P90-4313543,P08792,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,61,MARKBROOK LANE,,M9V5E7,1,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.58515214, 43.7592339743)}"
157223,P90-4313541,P08793,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,41,MARKBROOK LANE,,M9V5E6,1,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5863930002, 43.7582884603)}"
157224,P90-4313538,P08836,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,165,MAIN ST,,M4E2V9,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2998675269, 43.6838645878)}"
157225,P90-4313524,P08837,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,365,LIPPINCOTT ST,,M5S2P6,11,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4096815997, 43.6653510677)}"
157226,P90-4313522,P08838,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1881,LESLIE ST,,M3B2M3,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3594848938, 43.7568200257)}"
157227,P90-4313520,P08839,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1109,LESLIE ST,,M3C2J7,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.349112192, 43.721135789)}"
157228,P90-4313519,P08840,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,85,LEE AVE,,M4E2P1,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.297546966, 43.670044296)}"
157229,P90-4313518,P08841,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,38,LEACREST RD,,M4G1E6,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3662680088, 43.6972577701)}"
157230,P90-4313504,P08842,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,550,EGLINTON AVE W,,M5N1B6,8,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4153445794, 43.7034477804)}"
157231,P90-4313501,P08843,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2467,EGLINTON AVE E,,M1K2R1,20,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.261664565, 43.732662615)}"
157232,P90-4313499,P08844,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,5559,DUNDAS ST W,,M9B1B9,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5502776487, 43.6297642621)}"
157233,P90-4313497,P08845,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,12,DEERFORD RD,,M2J3J3,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.35066942, 43.786127991)}"
157234,P90-4313495,P08846,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1630,DANFORTH AVE,,M4C1H6,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3222686021, 43.6839655798)}"
157235,P90-4313496,P08847,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,480,DANFORTH AVE,,M4K1P4,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3498788942, 43.6781707812)}"
157236,P90-4313494,P08848,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2451,DANFORTH AVE,,M4C1L1,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3047896639, 43.6873188226)}"
157237,P90-4313493,P08849,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,480,DANFORTH RD,,M1K1C6,20,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2676306617, 43.7084532954)}"
157238,P90-4313489,P08850,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,19,CURITY AVE,,M4B1X4,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3164204871, 43.7094849599)}"
157239,P90-4313488,P08851,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,23,LASCELLES BLVD,,M4V2B9,12,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3985426023, 43.6954839869)}"
157240,P90-4313486,P08852,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,6,CURITY AVE,,M4B1X2,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3125042616, 43.7092626978)}"
157241,P90-4313482,P08853,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,737,RHODES AVE,,M4J4X5,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.324409288, 43.682783628)}"
157242,P90-4313484,P08854,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,155,CULFORD RD,,M6M4K6,5,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4871597957, 43.7059507348)}"
157243,P90-4313477,P08855,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,590,RATHBURN RD,,M9C3T3,2,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.58298662, 43.65010698)}"
157244,P90-4313471,P08856,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2266,QUEEN ST E,,M4E1G4,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.285898836, 43.6733225729)}"
157245,P90-4313473,P08857,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,590,RATHBURN RD,,M9C3T3,2,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.58298662, 43.65010698)}"
157246,P90-4313469,P08858,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1,LAIRD DR,,M4G3S8,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3601792694, 43.702986242)}"
157247,P90-4313467,P08859,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2266,QUEEN ST E,,M4E1G4,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.285898836, 43.6733225729)}"
157248,P90-4313466,P08860,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1081,PROGRESS AVE,,M1B5Z6,23,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.234370217, 43.7940560018)}"
157249,P90-4313464,P08861,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,41,CRANFIELD RD,,M4B3H6,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3094827688, 43.7146083751)}"
157250,P90-4313463,P08862,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,15,PRICE ST,,M4W1Z1,11,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3897082506, 43.6798003698)}"
157251,P90-4313461,P08863,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,455,COSBURN AVE,,M4J2N2,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3354913593, 43.6919880469)}"
157252,P90-4313460,P08864,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,10,KINGSDALE AVE,,M2N3W1,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.412324955, 43.770547253)}"
157253,P90-4313458,P08865,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,255,KENNEDY AVE,,M6P3C4,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.475087435, 43.651817839)}"
157254,P90-4313457,P08866,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,10,CHICHESTER PL,,M1T1G5,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.321483526, 43.776428638)}"
157255,P90-4313456,P08867,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,373,CEDARVALE AVE,,M4C4K7,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3150895921, 43.698180042)}"
157256,P90-4313455,P08926,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,116,JOSEPH DUGGAN RD,,M4L3Y2,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3081456757, 43.6677929969)}"
157257,P90-4313452,P08927,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2750,JANE ST,,M3L2N4,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5153050783, 43.7449700153)}"
157258,P90-4313450,P08868,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,20,PRESCOTT AVE,,M6N3G5,9,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.457579977, 43.675341707)}"
157259,P90-4313449,P08869,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2195,JANE ST,,M3M1A3,6,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5079300215, 43.7222134695)}"
157260,P90-4313447,P08870,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2,PASSY CRES,,M3J3K8,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.503433017, 43.769223126)}"
157261,P90-4313446,P08871,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,110,PARKWAY FOREST DR,,M2J1L7,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3429451779, 43.7741358989)}"
157262,P90-4313445,P08872,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,120,CEDARVALE AVE,,M4C4J8,19,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3115118453, 43.6867238311)}"
157263,P90-4313443,P08873,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,20,CASTLEFIELD AVE,,M4R1G7,8,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.400471687, 43.711869256)}"
157264,P90-4313441,P08874,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,58,CARNFORTH RD,,M4A2K7,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3174450847, 43.7381803416)}"
157265,P90-4313440,P08875,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,12,CANTERBURY PL,,M2N6N8,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4153580234, 43.7726444542)}"
157266,P90-4313439,P08876,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,246,BROOKE AVE,,M5M2K8,8,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4202387412, 43.7333155075)}"
157267,P90-4313437,P08877,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,686,BROADVIEW AVE,,M4K2P1,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3578623316, 43.6746133266)}"
157268,P90-4313434,P08878,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3220,BLOOR ST W,,M8X1E1,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5182265502, 43.6460552022)}"
157269,P90-4313433,P08879,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2187,BLOOR ST W,,M6S1N2,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4747805108, 43.6511083309)}"
