Building Address,Construction Completion Year,Name of Historic Resource,Neighbourhood,Warning Type 1,Warning Type 2,Latitude,Longitude,Location
9823 - 91 AVENUE NW,1913,Roy Gerolamy Residence (I),STRATHCONA,Municipal Historic Resource,,53.526093,-113.483966,"(53.526092910027025, -113.48396638648519)"
10322 - 135 Street,1956,Glenora Substation,GLENORA,Inventory of Historic Resources,,53.545132,-113.555188,"(53.54513238917016, -113.55518779684265)"
11240 - 79 STREET NW,1931,Cromdale School,CROMDALE,Inventory of Historic Resources,,53.561975,-113.463271,"(53.56197543965892, -113.4632713485716)"
6229 - 111 AVENUE NW,1913,Magrath Coach House,HIGHLANDS,Inventory of Historic Resources,,53.563785,-113.433261,"(53.56378497441952, -113.4332607196943)"
13068 - 115 STREET NW,1931,Coates Residence,CALDER,Municipal Historic Resource,,53.591980,-113.520456,"(53.5919804520024, -113.52045621491399)"
11125 - 131 STREET NW,1920,Westmount School,INGLEWOOD,Inventory of Historic Resources,,53.559694,-113.547069,"(53.559693525552746, -113.54706888620319)"
10928 - 125 STREET NW,1914,Bowen Residence,WESTMOUNT,Inventory of Historic Resources,,53.554794,-113.538181,"(53.55479445556144, -113.53818064721573)"
13111 - 104 Avenue NW,1932,Kennedy Residence,GLENORA,Inventory of Historic Resources,,53.545870,-113.548864,"(53.545869529248975, -113.54886422280406)"
11708 - 131 Avenue NW,1963,Sen Residence,CALDER,Inventory of Historic Resources,,53.591547,-113.523473,"(53.59154727983607, -113.52347288237746)"
11006 - 125 STREET NW,1912,George Roberts Residence,WESTMOUNT,Inventory of Historic Resources,,53.557560,-113.538188,"(53.55755990824479, -113.53818836437809)"
8925 - 100 Street,1915,Elmer Blasdell Residence,STRATHCONA,Inventory of Historic Resources,,53.525276,-113.488202,"(53.52527587361453, -113.48820240565038)"
11530 - 95A STREET NW,1922,McTaggart Residence,ALBERTA AVENUE,Municipal Historic Resource,,53.566738,-113.489123,"(53.56673798995861, -113.48912307844114)"
10358-10362 - 82 AVENUE NW,1909,Shragge Building - Rebuilt Frontage 2004,STRATHCONA,Inventory of Historic Resources,,53.518391,-113.496988,"(53.51839126323523, -113.49698819716824)"
10363 - 104 STREET NW,1911/22,Mercer Block,DOWNTOWN,Inventory of Historic Resources,,53.545941,-113.498701,"(53.54594061787682, -113.4987007833202)"
17940 - 41 AVENUE SW,1912,Farmhouse,WINDERMERE AREA,Inventory of Historic Resources,,53.396695,-113.633086,"(53.39669485251343, -113.6330863030483)"
11035 - 97 STREET NW,1914,Lambton Block,MCCAULEY,Municipal Historic Resource,,53.558414,-113.491488,"(53.55841391015803, -113.49148790240385)"
8603 - 104 STREET NW,1907,Mayor John James McKenzie Residence,STRATHCONA,Inventory of Historic Resources,Provincial Registered Historic Resource,53.522002,-113.496988,"(53.522002152070215, -113.49698793924807)"
9908 - 115 STREET NW,1913,Mark G. Wright Residence,OLIVER,Inventory of Historic Resources,,53.537585,-113.519960,"(53.537584997782815, -113.51996021971824)"
11140 - 127 STREET NW,1932,Davis Residence,INGLEWOOD,Inventory of Historic Resources,,53.560036,-113.541650,"(53.56003602614965, -113.54165013092432)"
15626 - 100A Avenue NW,1959,Jasper Place Health Unit,GLENWOOD,Inventory of Historic Resources,,53.540544,-113.591336,"(53.540543892729154, -113.5913357417933)"
8134 - JASPER AVENUE NW,1929,Trudel Residence,CROMDALE,Municipal Historic Resource,,53.557099,-113.466964,"(53.557098859330885, -113.46696401867216)"
11342 - 95A Street,1927,Arthur Gregor Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.563937,-113.489097,"(53.56393650942478, -113.48909669681531)"
10208 - 125 STREET NW,1937,Parsons/Bruce Residence,WESTMOUNT,Inventory of Historic Resources,,53.543301,-113.538164,"(53.54330141211807, -113.53816361318218)"
11101 University Avenue,1944,Lorne Hutt Sr. Residence,MCKERNAN,Inventory of Historic Resources,,53.514738,-113.517018,"(53.51473829449462, -113.51701845779317)"
9705 - 162 Street NW,1955,Bevington Residence,GLENWOOD,Inventory of Historic Resources,,53.534820,-113.600362,"(53.53482037721787, -113.60036229407395)"
20450 - 34 Street NW,1920,Farm House/Brick House,RURAL NORTHEAST NORTH STURGEON,Municipal Historic Resource,,53.666919,-113.399726,"(53.66691915827735, -113.39972589670641)"
11240 - 126 STREET NW,1915,Dorman Residence,INGLEWOOD,Inventory of Historic Resources,,53.561648,-113.539952,"(53.561647664370945, -113.53995190219032)"
11248 - 92 Street NW,1912,Thomson Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.562421,-113.483086,"(53.56242077384465, -113.48308616845527)"
10921 - 126 STREET NW,1912,Patterson Residence,WESTMOUNT,Inventory of Historic Resources,,53.554587,-113.538962,"(53.55458718197059, -113.53896201000128)"
13516 - RAVINE DRIVE NW,1944,Hayward Residence,GLENORA,Inventory of Historic Resources,,53.539470,-113.555963,"(53.53947049984709, -113.55596269232521)"
11054 - 87 Avenue,1910,David Morris Residence,GARNEAU,Inventory of Historic Resources,,53.523850,-113.516446,"(53.52384998703999, -113.51644594316868)"
10827 - 125 STREET NW,1912,Slessor/Thomson Residence,WESTMOUNT,Inventory of Historic Resources,,53.553436,-113.537185,"(53.55343591020753, -113.53718533954387)"
11738 - 96 STREET NW,1915,Major J.W. Hay Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.569986,-113.490654,"(53.56998587794857, -113.49065390217048)"
16651 - 10 STREET NW,1910,Residence,RURAL NORTH EAST SOUTH STURGEON,Inventory of Historic Resources,,53.628126,-113.355041,"(53.62812585134353, -113.35504088453209)"
2510 Yellowhead Trail NE,1901,Clover Bar Cementery,CLOVER BAR AREA,Inventory of Historic Resources,,53.571554,-113.307178,"(53.57155420087655, -113.30717800050121)"
11638 - 96 STREET NW,1914,Adela Williams Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.568450,-113.490640,"(53.56844954347609, -113.49064004774175)"
73 St. George's Crescent NW,1947,Biglow Residence,GLENORA,Inventory of Historic Resources,,53.540117,-113.554031,"(53.54011653359442, -113.5540305066576)"
10355 - 82 AVENUE NW,1911,Tipton Block,STRATHCONA JUNCTION,Inventory of Historic Resources,,53.517756,-113.496962,"(53.517756279990685, -113.49696178578274)"
11440 - 119 STREET NW,1950,Western Grocers,PRINCE RUPERT,Inventory of Historic Resources,,53.565619,-113.527493,"(53.56561891410124, -113.52749284193067)"
10954 - 81 AVENUE NW,1913,Robert Brett Residence,GARNEAU,Inventory of Historic Resources,,53.517379,-113.514470,"(53.517378642489504, -113.51447028070444)"
9942 - 85 Avenue,1912,George W. Burke Residence,STRATHCONA,Inventory of Historic Resources,,53.521198,-113.488156,"(53.52119804406761, -113.4881564030171)"
6020 - 118 STREET NW,1930,U of A Livestock Pavillion,UNIVERSITY OF ALBERTA FARM,Inventory of Historic Resources,,53.500363,-113.535414,"(53.50036253350607, -113.53541415694932)"
10341 - 82 AVENUE NW,1902,Gainer Block,STRATHCONA JUNCTION,Inventory of Historic Resources,Provincial Historic Resource,53.517755,-113.496508,"(53.51775523612429, -113.49650830886391)"
10019 - 87 AVENUE NW,1910,Thomas Malin Residence,STRATHCONA,Inventory of Historic Resources,,53.522418,-113.489665,"(53.5224184010881, -113.48966510736865)"
96-99 Sts. - 82 Avenue,1942,Boulevard and Median Elms #4,RITCHIE/STRATHCONA,Inventory of Historic Resources,,53.517719,-113.477051,"(53.51771897903909, -113.47705108993596)"
9604 - 103 Street NW,,9604 - 103 Street NW,ROSSDALE,Inventory of Historic Resources,,53.532654,-113.497933,"(53.53265369080772, -113.49793309873805)"
10454 - 70 AVENUE NW,1905,SD Lindsay Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.506644,-113.500308,"(53.506643735804104, -113.50030826468021)"
9844 - 110 STREET NW,1915,Grandin Roman Catholic School (Ecole Grandin),OLIVER,Inventory of Historic Resources,,53.536797,-113.511191,"(53.53679708847568, -113.51119117806303)"
12950 - 118 STREET NW,1927,Calder School,CALDER,Inventory of Historic Resources,,53.588964,-113.525952,"(53.58896373542031, -113.52595207942863)"
16451 - 104A Avenue NW,1959,Hall Residence,BRITANNIA YOUNGSTOWN,Inventory of Historic Resources,,53.546973,-113.606752,"(53.54697336973981, -113.60675247964247)"
11224 - 94 Street,1915,George S. Young Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.561778,-113.486075,"(53.56177790600827, -113.4860750388024)"
9619 - 105 Street NW,,9619 - 105 Street NW,ROSSDALE,Inventory of Historic Resources,,53.533101,-113.500553,"(53.53310105789423, -113.50055281574397)"
11649 - 95 STREET NW,1915,Henry J. Wells Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.568463,-113.486784,"(53.56846344628685, -113.4867839137995)"
8441 - 101 AVENUE NW,1912,St. Teresa School,FOREST HEIGHTS,Inventory of Historic Resources,,53.539367,-113.459790,"(53.53936730827465, -113.45978955833937)"
10315 - 109 STREET NW,1929,International Harvester Co. Building,DOWNTOWN,Inventory of Historic Resources,,53.545194,-113.507872,"(53.54519422257257, -113.5078716226104)"
10729 - 123 STREET NW,1913,Connell Residence,WESTMOUNT,Inventory of Historic Resources,,53.551940,-113.533634,"(53.55194046035908, -113.5336344753921)"
3130 - 156 STREET SW,,Log Structure,CHAPPELLE AREA,Inventory of Historic Resources,,53.404700,-113.591431,"(53.404699846260115, -113.59143131534167)"
13204 - FOX DRIVE NW,1918,Keillor Cabin,RIVER VALLEY WHITEMUD,Inventory of Historic Resources,,53.504823,-113.551167,"(53.50482250829161, -113.55116690000244)"
10348 - 127 STREET NW,1929,Jospeh Reed Residence,WESTMOUNT,Inventory of Historic Resources,,53.546026,-113.541726,"(53.546025951234576, -113.54172592809786)"
11725 - 86 STREET NW,1916,Robert Young Residence,PARKDALE,Inventory of Historic Resources,,53.569561,-113.472878,"(53.569561012025986, -113.47287801020653)"
10724 - 126 STREET NW,1914,La Key Residence,WESTMOUNT,Inventory of Historic Resources,,53.551686,-113.539950,"(53.551686187527054, -113.53995033451902)"
13910 - STONY PLAIN ROAD NW,1970,Crescent Place,GLENORA,Inventory of Historic Resources,,53.543981,-113.562246,"(53.54398117755831, -113.56224585382243)"
9645 - 104 Street NW,,9645 - 104 Street NW,ROSSDALE,Inventory of Historic Resources,,53.533610,-113.498687,"(53.53360963053548, -113.49868721395666)"
7000 - 143 Street,1910,St. Michael's Anglican Church,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
13004 - 102 AVENUE NW,1947,Louis Residence,GLENORA,Inventory of Historic Resources,,53.543311,-113.546263,"(53.54331058358162, -113.54626319975475)"
11609 - 94 STREET NW,1916,Edwin Voss Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.567656,-113.485277,"(53.567655695205396, -113.48527654568551)"
10515 - 133 STREET NW,1948,Iles Residence,GLENORA,Inventory of Historic Resources,,53.548231,-113.550801,"(53.54823051755281, -113.55080126479342)"
10353-55 - 71 Avenue,1958,Security Engineering Canada Ltd.,STRATHCONA JUNCTION,Inventory of Historic Resources,,53.507101,-113.496618,"(53.50710082554115, -113.49661808998113)"
8715 - 118 Avenue,1956,St. Andrew's Presbyterian Church,PARKDALE,Inventory of Historic Resources,,53.570161,-113.475343,"(53.570161075241195, -113.47534274647319)"
10423 - 127 STREET NW,1912,Charles Frost Residence,WESTMOUNT,Inventory of Historic Resources,,53.546921,-113.540702,"(53.54692142584944, -113.54070232361501)"
10570/76 - 81 Avenue,1957,Barraclough/Treau Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517360,-113.503004,"(53.51736024492043, -113.50300441926557)"
11236 - 126 STREET NW,1922,Allyn Residence,INGLEWOOD,Inventory of Historic Resources,,53.561511,-113.539952,"(53.56151068874244, -113.53995159882402)"
13546 - 111 AVENUE NW,1958,Ross Sheppard High School,WOODCROFT,Inventory of Historic Resources,,53.559729,-113.557502,"(53.55972937392805, -113.55750227310384)"
11007 - 90 Avenue,1914,George Ash Residence,GARNEAU,Inventory of Historic Resources,,53.523850,-113.516446,"(53.52384998703999, -113.51644594316868)"
12920 - 116 Street,1914,Elm Park School,CALDER,Inventory of Historic Resources,,53.588210,-113.522159,"(53.588209668251686, -113.52215944377168)"
10029 - 114 STREET NW,1934,El Tovar Apartment House,OLIVER,Inventory of Historic Resources,,53.539711,-113.517097,"(53.53971072301703, -113.51709656953591)"
10953 - 89 AVENUE NW,1912,G.E. Heber Smith,GARNEAU,Inventory of Historic Resources,,53.524523,-113.514777,"(53.52452332668741, -113.51477737334079)"
11028 - 85 AVENUE NW,1912,Fred Johnson Residence,GARNEAU,Inventory of Historic Resources,,53.521269,-113.516370,"(53.5212693497005, -113.51636992969307)"
10514-10520 - JASPER AVENUE NW,1909,Jasper Block,DOWNTOWN,Municipal Historic Resource,,53.541274,-113.501631,"(53.541274384056784, -113.50163060429547)"
9734 - 88 AVENUE NW,1901,Mill Creek House,STRATHCONA,Municipal Historic Resource,,53.523777,-113.481321,"(53.52377650427852, -113.48132097268689)"
7305 - 105A STREET NW,1912,Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.509584,-113.502101,"(53.509584169127386, -113.50210146515053)"
11648 - 102 AVENUE NW,1911,Culloden Moore Residence,OLIVER,Inventory of Historic Resources,,53.543215,-113.522617,"(53.54321522569335, -113.52261685929099)"
11424 - 100 AVENUE NW,1931,Werner Residence,OLIVER,Inventory of Historic Resources,,53.539089,-113.518936,"(53.539089293214325, -113.51893629653853)"
9442 - 100A STREET NW,1910,Stark Residence,ROSSDALE,Inventory of Historic Resources,,53.530544,-113.492776,"(53.530543691303315, -113.49277611152681)"
11519 - UNIVERSITY AVENUE NW,1913,Dr. J. McPherson Residence,MCKERNAN,Inventory of Historic Resources,,53.516805,-113.529953,"(53.516805232959385, -113.52995263600191)"
6010 - 111 AVENUE NW,1912,Mackenzie Residence,HIGHLANDS,Inventory of Historic Resources,,53.565482,-113.430404,"(53.565481925573906, -113.430403743916)"
11512 - 130 AVENUE NW,1928,Snatynchuk Residence,CALDER,Inventory of Historic Resources,,53.590129,-113.520956,"(53.59012894429277, -113.52095644118035)"
11214 - 97 STREET NW,1925,Charles Barker II / Ron Myren Residence,SPRUCE AVENUE,Inventory of Historic Resources,,53.561485,-113.492369,"(53.561484586287996, -113.49236857066612)"
9308 - 69 Avenue,1953,George McDonagh Residence,HAZELDEAN,Inventory of Historic Resources,,53.505934,-113.470882,"(53.50593427235814, -113.4708824947297)"
10840 - 125 STREET NW,1913,William McCammon Residence,WESTMOUNT,Inventory of Historic Resources,,53.553686,-113.538179,"(53.55368607195601, -113.53817865856855)"
10647 - 84 Avenue,1922,Edward P. O'Donnell Residence,STRATHCONA,Inventory of Historic Resources,,53.519765,-113.505830,"(53.5197646253517, -113.5058298216472)"
9748 - 86 Avenue,1913,William Dietz Residence,STRATHCONA,Inventory of Historic Resources,,53.522042,-113.482042,"(53.52204164704276, -113.48204224957904)"
10046 - 87 AVENUE NW,1914,A.O. Braman Residence,STRATHCONA,Municipal Historic Resource,,53.522919,-113.490878,"(53.52291948766526, -113.49087791509763)"
10828 - 125 STREET NW,1912,Chandler Residence,WESTMOUNT,Municipal Historic Resource,,53.553412,-113.538178,"(53.553412384951415, -113.53817834880213)"
10327 - 97 STREET NW,1912,Stovel Block,BOYLE STREET,Municipal Historic Resource,,53.546566,-113.486820,"(53.54656606508944, -113.48681963077931)"
9663 - 88 AVENUE NW,1922,Thomas Bowden Residence,STRATHCONA,Inventory of Historic Resources,,53.523184,-113.478838,"(53.523183960467236, -113.47883760051718)"
8728 - 93 AVENUE NW,1951,Strathearn Elementary,STRATHEARN,Inventory of Historic Resources,,53.530694,-113.462368,"(53.530694210982396, -113.46236772861889)"
10422 - 134 Street NW,1950,Warren Residence,GLENORA,Inventory of Historic Resources,,53.547053,-113.553431,"(53.547052828214625, -113.55343088122929)"
10426 - 81 Avenue,1950,Strathcona Municipal District No. 83 Administration Building,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517354,-113.499620,"(53.5173540958066, -113.4996202232824)"
11014 - 125 STREET NW,1912,John Stein Residence,WESTMOUNT,Inventory of Historic Resources,,53.557765,-113.538189,"(53.55776526141155, -113.53818876419598)"
10311 - SASKATCHEWAN DRIVE NW,1908,O'Brien Residence,STRATHCONA,Inventory of Historic Resources,,53.523268,-113.496449,"(53.52326760571883, -113.49644895696821)"
12831 - 123 STREET NW,1958,Puchyr Residence,CALDER,Inventory of Historic Resources,,53.587037,-113.533064,"(53.5870367713963, -113.53306429932132)"
9321 - 81 AVENUE NW,1912,Samuel Mortimer Residence,KING EDWARD PARK,Inventory of Historic Resources,,53.516750,-113.471359,"(53.516749799375845, -113.47135934674534)"
10424 - 86 AVENUE NW,1913,Duncan MacDonald Residence,STRATHCONA,Inventory of Historic Resources,,53.522051,-113.498851,"(53.5220509557975, -113.49885118413569)"
11701 - 96 STREET NW,1927,James Rutherford Residence,ALBERTA AVENUE,Municipal Historic Resource,,53.568995,-113.489789,"(53.56899477398059, -113.48978855786265)"
10025 - 105 STREET NW,1912,First Presbyterian Church,DOWNTOWN,Municipal Historic Resource,Provincial Historic Resource,53.539571,-113.500558,"(53.53957101849099, -113.50055774941288)"
12404 - 131A AVENUE NW,1959,Rehring Residence,CALDER,Inventory of Historic Resources,,53.591583,-113.536612,"(53.591583015171175, -113.53661190350005)"
8721 - 101 STREET NW,1912,Judge Downes Residence,STRATHCONA,Inventory of Historic Resources,,53.523282,-113.490949,"(53.523282292096624, -113.49094861864364)"
36 - ST GEORGE'S CRESCENT NW,1914,O'Connor Residence,GLENORA,Inventory of Historic Resources,Provincial Registered Historic Resource,53.540975,-113.551763,"(53.54097467730116, -113.55176319262992)"
9626 - 96A Street,,Federal and Provincial Tree Collection,CLOVERDALE,Inventory of Historic Resources,,53.534743,-113.477662,"(53.53474262939152, -113.47766151930252)"
9616 - 103 Street NW,,9616 - 103 Street NW,ROSSDALE,Inventory of Historic Resources,,53.532928,-113.497933,"(53.53292778934484, -113.4979332643489)"
22 St. George's Crescent NW,1948,Hagelstein Residence,GLENORA,Inventory of Historic Resources,,53.541447,-113.553183,"(53.541446586192244, -113.55318294767264)"
12830 - 123 STREET NW,1913,Case Residence,CALDER,Inventory of Historic Resources,,53.586895,-113.533943,"(53.586894655127914, -113.53394303791367)"
11422 - 94 STREET NW,1911,Killips Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.564941,-113.486106,"(53.56494121995509, -113.48610634616618)"
10153 - 122 STREET NW,1944,Yee Residence 10153 122 St,OLIVER,Inventory of Historic Resources,,53.542758,-113.531932,"(53.5427583609461, -113.53193222115952)"
10327 - 134 Street NW,1929,Montgomery Residence,GLENORA,Inventory of Historic Resources,,53.545562,-113.552448,"(53.545561723975766, -113.55244785520105)"
10053 - JASPER AVENUE NW,1911,Union Bank Building,DOWNTOWN,Municipal Historic Resource,,53.540688,-113.492217,"(53.54068836933724, -113.49221658891919)"
11311 - 120 STREET NW,1954,John Deere Plow Company Warehouse,PRINCE RUPERT,Inventory of Historic Resources,,53.563326,-113.528544,"(53.5633260271784, -113.52854439717615)"
11346 - 67 STREET NW,1914,Captain John Matheson Residence,BELLEVUE,Inventory of Historic Resources,,53.566728,-113.442917,"(53.566727988099224, -113.44291652202405)"
8820 - 112 STREET NW,1910,Old St. Stephen's College,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,Provincial Historic Resource,53.524406,-113.521704,"(53.524406041444294, -113.52170366470772)"
12606 - 104 AVENUE NW,1912,Wallbridge Residence,WESTMOUNT,Municipal Historic Resource,,53.546463,-113.539829,"(53.54646309915423, -113.53982896936013)"
99 - ST GEORGE'S CRESCENT NW,1947,Dower Residence,GLENORA,Inventory of Historic Resources,,53.540414,-113.554772,"(53.54041423435155, -113.5547719835543)"
11404 - 89 Avenue,1921,Dentistry/Pharmacy Centre,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.523704,-113.524477,"(53.52370360497574, -113.52447664683923)"
11051 - 97 STREET NW,1948,Blue Cross Animal Hospital,MCCAULEY,Municipal Historic Resource,,53.558645,-113.491528,"(53.55864472946152, -113.491527556198)"
9350 - 107A AVENUE NW,1912,Carswell Residence,MCCAULEY,Inventory of Historic Resources,,53.554320,-113.482743,"(53.554319622806, -113.48274333843598)"
5 Tweedsmuir Crescent NW,1929,Mason Residence,GLENORA,Inventory of Historic Resources,,53.542250,-113.550696,"(53.54225031727139, -113.55069552096984)"
13120 - 125 STREET NW,1959,Kensington Court,CALDER,Inventory of Historic Resources,,53.591530,-113.538734,"(53.59153019881586, -113.53873431375996)"
14032 - 106A Avenue NW,1953,Zerr Residence,GLENORA,Inventory of Historic Resources,,53.550438,-113.564932,"(53.550437647557956, -113.5649318954002)"
8201 - 118 AVENUE NW,1960,Cromdale Furniture And Appliances Ltd.,PARKDALE,Inventory of Historic Resources,,53.570165,-113.467597,"(53.57016510222351, -113.46759677858779)"
11204 - 96 STREET NW,1911,Arthur Miller Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.561232,-113.490567,"(53.56123175774425, -113.49056698533941)"
12327 - 102 AVENUE NW,1912,Buena Vista Apartments,OLIVER,Inventory of Historic Resources,,53.542823,-113.535396,"(53.54282320752743, -113.53539608420532)"
6018 - 111 AVENUE NW,1914,Carlton Sheldon Residence,HIGHLANDS,Inventory of Historic Resources,Provincial Registered Historic Resource,53.565381,-113.430682,"(53.56538063738559, -113.4306820026313)"
10317 - 134 Street NW,1929,Cummer Residence,GLENORA,Inventory of Historic Resources,,53.545196,-113.552546,"(53.54519617238885, -113.55254551098363)"
8624 - 118 AVENUE NW,1914,Zaslaw Block,EASTWOOD,Inventory of Historic Resources,,53.570640,-113.473416,"(53.57064044167848, -113.4734163268313)"
10701 - 85 AVENUE NW,1913,University Grocery,GARNEAU,Inventory of Historic Resources,,53.520805,-113.506608,"(53.5208046959709, -113.50660829905016)"
11609 - 89 STREET NW,1930,Shirley K. Oliver Residence,PARKDALE,Inventory of Historic Resources,,53.567659,-113.477779,"(53.56765873599469, -113.47777894728887)"
9740 - 78 Avenue,1915,David Connell Residence,RITCHIE,Inventory of Historic Resources,,53.514470,-113.481687,"(53.51446990678422, -113.48168704736598)"
9420 - 118 AVENUE NW,1957,Tiara Building,ALBERTA AVENUE,Inventory of Historic Resources,,53.570634,-113.486446,"(53.57063439443067, -113.48644565683823)"
11220 - 62 STREET NW,1930,J. MacGregor Thom Residence,HIGHLANDS,Municipal Historic Resource,,53.566463,-113.434308,"(53.566462894774006, -113.43430750281195)"
10331 - 138 STREET NW,1948,Greenhalgh Residence,GLENORA,Inventory of Historic Resources,,53.545737,-113.559214,"(53.5457370718336, -113.5592142292408)"
10916 - UNIVERSITY AVENUE NW,1923,Thomas Swan Residence,GARNEAU,Inventory of Historic Resources,,53.514506,-113.512804,"(53.51450594088063, -113.5128039528978)"
8109 - 112 STREET NW,1932,Preston Giffen Residence,GARNEAU,Inventory of Historic Resources,,53.517297,-113.520427,"(53.51729721384125, -113.52042746335994)"
11017 - 125 STREET NW,1922,Woodward Residence,WESTMOUNT,Inventory of Historic Resources,,53.557903,-113.537196,"(53.5579025836822, -113.53719580214985)"
11305 - 108 AVENUE NW,1916,Meneer Residence,QUEEN MARY PARK,Inventory of Historic Resources,,53.552712,-113.516183,"(53.5527115197752, -113.51618251119999)"
11223 - 125 STREET NW,1913,MacIntyre Residence,INGLEWOOD,Inventory of Historic Resources,,53.561215,-113.537201,"(53.56121531414021, -113.53720098494689)"
9648 - 108 Avenue NW,1945,St. Josaphat Cathedral,MCCAULEY,Municipal Historic Resource,Provincial Historic Resource,53.554305,-113.489394,"(53.55430543621449, -113.48939352174644)"
11131 - 85 Avenue,1914,Elmer Luck Residence,GARNEAU,Inventory of Historic Resources,,53.520730,-113.519405,"(53.52073023459373, -113.5194051357055)"
9223 - 99 STREET NW,1913,James Cochrane Residence,STRATHCONA,Inventory of Historic Resources,,53.527958,-113.485124,"(53.52795827566768, -113.48512432281119)"
11430 - 68 STREET NW,1953,Eastglen Composite High School,BELLEVUE,Inventory of Historic Resources,,53.568129,-113.447520,"(53.56812891641494, -113.44752016334759)"
7000 - 143 Street,1898,Henderson Round Barn,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10842 - 125 STREET NW,1913,John Brookbank Residence,WESTMOUNT,Inventory of Historic Resources,,53.553807,-113.538179,"(53.553807153908465, -113.53817878831462)"
9824 - 92 AVENUE NW,1913,R.G.J. SMith Residence,STRATHCONA,Municipal Historic Resource,,53.527585,-113.483988,"(53.527584568787695, -113.48398833121452)"
10603 - 103 Street NW,1909,Charles J. Carter Residence,MCCAULEY,Municipal Historic Resource,,53.550647,-113.494563,"(53.55064715406091, -113.49456297834632)"
12608 - 107 Avenue NW,1916,Campbell Residence,WESTMOUNT,Inventory of Historic Resources,,53.551138,-113.539949,"(53.551138479606614, -113.5399490146602)"
11509 - 62 STREET NW,1920,Highlands Junior High School,HIGHLANDS,Inventory of Historic Resources,,53.569494,-113.434670,"(53.56949383608267, -113.43466961703996)"
10985 - 127 STREET NW,,Brokenshar Building,WESTMOUNT,Inventory of Historic Resources,,53.556723,-113.540712,"(53.55672335506025, -113.54071164119517)"
12526 - 109A Avenue NW,1922,Griffith Residence,WESTMOUNT,Municipal Historic Resource,,53.555957,-113.538966,"(53.55595669980122, -113.53896619674951)"
10123 - 136 STREET NW,1946,Hyndman House,GLENORA,Municipal Historic Resource,,53.541959,-113.556053,"(53.54195912661874, -113.5560526046478)"
10935 - 123 STREET NW,1914,Eby Residence,WESTMOUNT,Inventory of Historic Resources,,53.555024,-113.533661,"(53.55502414495624, -113.5336609616372)"
1810A - 156 STREET SW,1939,Ashby Residence,GLENRIDDING AREA,Inventory of Historic Resources,,53.416951,-113.591071,"(53.41695100041106, -113.59107069049355)"
9718 - 107 Street,1953,Alberta Government Telephones,DOWNTOWN,Inventory of Historic Resources,,53.532538,-113.506139,"(53.53253753971648, -113.50613892784837)"
7710 - 100 Street,1907,Strathcona Roundhouse,CPR IRVINE,Inventory of Historic Resources,,53.512950,-113.491146,"(53.512949840930574, -113.49114640142454)"
10520 - 74 AVENUE NW,1930,Ernest E. Davey Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.510629,-113.501817,"(53.510629262119124, -113.50181744074426)"
9803 - 93 AVENUE NW,1914,William Milne Residence,STRATHCONA,Inventory of Historic Resources,,53.527983,-113.482963,"(53.52798336486673, -113.48296258265839)"
5516 - ADA BOULEVARD NW,1946,Stewart Graham Residence,HIGHLANDS,Inventory of Historic Resources,,53.564985,-113.426807,"(53.56498484506289, -113.42680685084167)"
9158 - Jasper Avenue,1919,Empire Marble and Tile Co. Ltd.,BOYLE STREET,Inventory of Historic Resources,,53.549280,-113.475322,"(53.54927952821121, -113.4753222551152)"
8207 - 105 STREET NW,1909,Archibald Block,STRATHCONA,Inventory of Historic Resources,,53.518397,-113.500148,"(53.518397325051666, -113.5001484534366)"
11646 - 94 Street,1932,Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.568647,-113.486142,"(53.56864658507305, -113.48614151223684)"
11122 - 123 STREET NW,1914,Benjamin Mitchell Residence,INGLEWOOD,Inventory of Historic Resources,,53.559629,-113.534641,"(53.55962866865246, -113.53464108977053)"
12845 - 102 Avenue,1913,Government House,GLENORA,Inventory of Historic Resources,Provincial Historic Resource,53.541831,-113.543958,"(53.54183119451204, -113.54395790968407)"
9759 - 89 AVENUE NW,1913,Abram Residence,STRATHCONA,Municipal Historic Resource,,53.522395,-113.482530,"(53.52239525977652, -113.48252977494012)"
