Maintenance Area,Neighbourhood Name,Planned Start Week,Earliest Scheduled Start Date,Latest Scheduled Start Date,Planned Start Date,Street Cleaning Status,Location,Data Update,Planned Start Week Revised/Postponed,Note,Revised Start Week,Revised Earliest Scheduled Start Date,Revised Latest Scheduled Start Date,Revised Start Date
408,Delwood,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,13-May-2020,Completed,"(53.59610964, -113.4553295)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,Not Applicable
502,Ritchie,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.5133914, -113.4800289)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
409,Balwin,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,20-May-2020,Completed,"(53.58804264, -113.4552343)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,18-May-2020 thru 24-May-2020,18-May-2020,24-May-2020,18-May-2020
449,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6748433, -113.3571949)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
330,Rampart Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,20-May-2020,Completed,"(53.6157124, -113.5794683)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
437,Evergreen,01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,29-May-2020,Completed,"(53.62140406, -113.332218)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,01-Jun-2020
415,Rosslyn,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,30-Apr-2020,Completed,"(53.59596544, -113.5045276)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,05-May-2020
308,McQueen and North Glenora,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.55508117, -113.564706)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,30-Apr-2020
406,Kilkenny,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,13-May-2020,Completed,"(53.61054989, -113.4554575)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,Not Applicable
511,Gold Bar,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.5471618, -113.4101929)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
580,"Parts of Coronet and Rosedale Industrial, and CPR Irvine",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.4948744, -113.4801019)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
454,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.7008534, -113.3568113)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
444,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6545091, -113.3873723)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
435,Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6097326, -113.3101088)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
101,"Parkdale, and parts of (Alberta Avenue)",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.56576771, -113.4782823)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
112,"Abbottsfield, Beacon Heights, and Bergman",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.57604578, -113.4035779)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
427,"Matt Berry, and Hollick-Kenyon",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,20-May-2020,Completed,"(53.62242959, -113.42859)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,25-May-2020 thru 31-May-2020,25-May-2020,31-May-2020,TBD
401,"Kernohan, Belmont, and Sifton Park",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,29-May-2020,Completed,"(53.59278795, -113.394577)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
500,Avonmore,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.50780615, -113.4530106)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
232,Hays Ridge Chappelle Area,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.4136406, -113.5717209)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,14-May-2020
432,Parts of Evergreen,01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,29-May-2020,Completed,"(53.6225476, -113.3566689)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,01-Jun-2020
379,West Sheffield and Youngstown Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5581745, -113.6100681)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
307,parts of Westmount,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,06-May-2020,Completed,"(53.55348702, -113.5438223)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
534,Rural Southeast,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4324271, -113.3562392)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
233,Terwillegar Towne and Terwillegar South,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.44462288, -113.5815504)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
403,York,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.60317388, -113.4308288)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
451,Rural Northeast/Horsehills,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6690498, -113.3053709)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
235,Glenridding,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.41031666, -113.5993724)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
478,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Completed,"(53.5935832, -113.3081382)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
204,"Parkallen, and McKernan",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.50706287, -113.5222058)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
383,"Poundmaker, Sunwapta, Wilson, Morin, Mcnamara and Stone Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5479869, -113.6400307)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
442,Marquis,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6501891, -113.3321446)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
516,"Kameyosek, and Tipaskan",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.46221086, -113.4512144)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
222,"Ermineskin, and Steinhauer",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.46114851, -113.5041522)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
441,Parts of Marquis and Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6507074, -113.3041583)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
228,Rutherford,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.41762129, -113.5289905)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
456,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6990864, -113.4074169)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
226,"Cashman, Blackmud Creek, and Cavanagh",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.41083848, -113.5068183)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
418,Kensington,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.59601428, -113.5290921)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
450,Rural Northeast/Horsehills,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6672493, -113.3317938)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
479,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Completed,"(53.5774299, -113.3564103)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
114,"Elmwood park, and parts of (Eastwood, and Montrose)",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.57429843, -113.4486184)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
113,Newton and parts of (Montrose),11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.57607643, -113.4308172)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
252,"Windermere, and Westpoint Estates",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.43536178, -113.627485)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
507,Terrace Heights,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.54219053, -113.4376954)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
242,Jamieson Place,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.48883368, -113.6513667)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
332,"Carlton, and Oxford",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.62180784, -113.5535659)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
326,LaPerle and Belmead,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.53023489, -113.6454625)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
422,"Baturyn, Chambery, and Elsinore",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.63979715, -113.5045391)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
