Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via CCTV Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Cancellation Reason,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
10/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-H,FROGNAL (CA-H) NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000133,Frognal and Fitzjohns,526148,186025,-0.181645,51.559004,"(51.559004, -0.181645)",Civil Enforcement Officer GPS Location,31/12/2017 03:03:25 AM,1040186
09/07/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-F,CROWNDALE ROAD NW1,Rigid Truck,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000143,St Pancras and Somers Town,529557,183507,-0.133429,51.535609,"(51.535609, -0.133429)",Fixed CCTV Camera,31/12/2017 03:22:58 AM,1277553
18/01/2015,No,O/S TMA,On Street Contravention,40,,Parked in a designated disabled persons parking place without displaying a valid disabled persons badge in the prescribed manner,No,CA-C,DENMARK STREET WC2,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,529872,181258,-0.129716,51.515325,"(51.515325, -0.129716)",Civil Enforcement Officer GPS Location,31/12/2017 02:05:05 AM,423005
10/10/2014,No,MTC,Moving Traffic Contravention,50U,U,Performing a prohibited turn (no U turn),Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 01:52:21 AM,313014
21/11/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 02:11:35 AM,491469
17/01/2015,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-E,BEDFORD PLACE WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530216,181839,-0.124546,51.520467,"(51.520467, -0.124546)",Civil Enforcement Officer GPS Location,31/12/2017 03:15:19 AM,1196155
11/12/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-K,BELSIZE ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000140,Kilburn,525710,183821,-0.188753,51.539299,"(51.539299, -0.188753)",Civil Enforcement Officer GPS Location,31/12/2017 02:53:16 AM,947764
08/05/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 03:23:54 AM,1298444
21/05/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-R,GREENCROFT GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000144,Swiss Cottage,526038,184305,-0.18385,51.543574,"(51.543574, -0.18385)",Civil Enforcement Officer GPS Location,31/12/2017 02:46:42 AM,868360
06/04/2014,No,CCTV TMA,CCTV Parking Contravention,23J,J,Parked in a parking place or area not designated for that class of vehicle - camera enforcement,Yes,CA-C,HIGH HOLBORN WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530730,181561,-0.117248,51.517851,"(51.517851, -0.117248)",Fixed CCTV Camera,31/12/2017 02:25:34 AM,613401
22/08/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-E,WINDMILL STREET W1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529562,181624,-0.13404,51.518684,"(51.518684, -0.13404)",Civil Enforcement Officer GPS Location,31/12/2017 03:39:48 AM,1440372
26/07/2014,No,MTC,Moving Traffic Contravention,50U,U,Performing a prohibited turn (no U turn),Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,Other,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 01:52:23 AM,313786
23/10/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-U,BOSCASTLE ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:18 AM,141109
11/10/2014,No,O/S TMA,On Street Contravention,12S,S,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - shared use bay",No,CA-V,NORTH END WAY NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:41:02 AM,112498
13/02/2015,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-J,ST. JOHNS WOOD PARK NW8,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,Yes,Yes,,,,,,,,Unknown,31/12/2017 01:38:51 AM,88885
10/01/2015,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-M,HIGHGATE ROAD NW5,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,528967,185286,-0.141279,51.551732,"(51.551732, -0.141279)",Fixed CCTV Camera,31/12/2017 02:05:25 AM,429066
27/11/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Outstanding,Band A (Higher),No,No,No,,Yes,(Other),No,No,E05000134,Gospel Oak,528315,185312,-0.15066,51.552109,"(51.552109, -0.15066)",Civil Enforcement Officer GPS Location,31/12/2017 03:41:24 AM,1466465
22/09/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-E,UNIVERSITY STREET WC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,E05000129,Bloomsbury,529517,182218,-0.134476,51.524034,"(51.524034, -0.134476)",Civil Enforcement Officer GPS Location,31/12/2017 02:52:41 AM,942013
24/06/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-D,RED LION SQUARE WC1,(Private) Car,No,WrittenOff,Band A (Lower),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530661,181716,-0.118178,51.519254,"(51.519254, -0.118178)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:06 AM,1103683
12/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-R,GOLDHURST TERRACE NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000144,Swiss Cottage,526321,184556,-0.179688,51.54577,"(51.54577, -0.179688)",Civil Enforcement Officer GPS Location,31/12/2017 03:38:20 AM,1413709
03/06/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-F,ARLINGTON ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000142,Regent's Park,528992,183538,-0.141555,51.536012,"(51.536012, -0.141555)",Civil Enforcement Officer GPS Location,31/12/2017 03:13:15 AM,1157515
09/06/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-G,OSNABURGH STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000142,Regent's Park,528904,182391,-0.143241,51.525729,"(51.525729, -0.143241)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:38 AM,1113012
12/09/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-N,MURRAY STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000131,Cantelowes,529621,184373,-0.132186,51.54337,"(51.54337, -0.132186)",Civil Enforcement Officer GPS Location,31/12/2017 03:15:51 AM,1205701
21/03/2015,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-B,KINGS COLLEGE ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000143,St Pancras and Somers Town,529442,183732,-0.134996,51.537652,"(51.537652, -0.134996)",Civil Enforcement Officer GPS Location,31/12/2017 03:28:45 AM,1328511
05/05/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,(Private) Car,No,Paid/Closed,Band B (Higher),No,No,No,,No,United Kingdom,No,No,E05000140,Kilburn,525351,183725,-0.19396,51.538517,"(51.538517, -0.19396)",Fixed CCTV Camera,31/12/2017 03:23:51 AM,1297379
10/07/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-H,WEDDERBURN ROAD NW3,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526820,185179,-0.17226,51.55125,"(51.55125, -0.17226)",Civil Enforcement Officer GPS Location,31/12/2017 02:46:13 AM,859412
05/09/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-H,HEATH HURST ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,527227,185658,-0.166223,51.55547,"(51.55547, -0.166223)",Civil Enforcement Officer GPS Location,31/12/2017 02:46:09 AM,858420
20/05/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-N,AGAR GROVE NW1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:12 AM,7012
29/01/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-H,FROGNAL (CA-H) NW3,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000133,Frognal and Fitzjohns,526228,185272,-0.180766,51.552222,"(51.552222, -0.180766)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:14 AM,1068327
30/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-C,SOUTHAMPTON PLACE WC1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530423,181566,-0.121673,51.51796,"(51.51796, -0.121673)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:54 AM,1079564
24/10/2014,No,CCTV TMA,CCTV Parking Contravention,99J,J,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags - camera enforcement,Yes,CA-K,BELSIZE ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,E05000140,Kilburn,525615,183743,-0.190149,51.53862,"(51.53862, -0.190149)",Fixed CCTV Camera,31/12/2017 01:50:09 AM,227311
06/05/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-D,RUSSELL SQUARE WC1,Articulated Truck,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530007,181966,-0.127514,51.52165,"(51.52165, -0.127514)",Civil Enforcement Officer GPS Location,31/12/2017 03:14:06 AM,1173322
31/10/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-D,PORTPOOL LANE EC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531032,181889,-0.112766,51.520729,"(51.520729, -0.112766)",Civil Enforcement Officer GPS Location,31/12/2017 01:51:09 AM,269324
27/05/2014,No,O/S TMA,On Street Contravention,16E,E,Parked in a permit space or zone without clearly displaying a valid permit - car club bay,No,CA-B,GLENLOCH ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,527210,185183,-0.166635,51.551204,"(51.551204, -0.166635)",Civil Enforcement Officer GPS Location,31/12/2017 02:37:16 AM,758926
15/04/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:49 AM,205872
05/05/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-E,GOWER STREET WC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,Yes,E05000129,Bloomsbury,529519,182218,-0.13445,51.524034,"(51.524034, -0.13445)",Fixed CCTV Camera,31/12/2017 03:22:41 AM,1271778
08/06/2014,No,MTC,Moving Traffic Contravention,50U,U,Performing a prohibited turn (no U turn),Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 01:52:23 AM,314270
24/11/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:03 AM,460470
30/04/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-J,ST. GEORGES TERRACE NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,527931,183875,-0.156728,51.539287,"(51.539287, -0.156728)",Civil Enforcement Officer GPS Location,31/12/2017 02:51:40 AM,927630
02/05/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-F,HAVERSTOCK HILL (CA-F) NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,527105,185351,-0.168096,51.552738,"(51.552738, -0.168096)",Fixed CCTV Camera,31/12/2017 02:06:40 AM,446017
04/07/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-D,GREAT ORMOND STREET WC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530544,182021,-0.119756,51.522024,"(51.522024, -0.119756)",Civil Enforcement Officer GPS Location,31/12/2017 03:38:27 AM,1416459
29/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-P,DENNINGTON PARK ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000145,West Hampstead,525503,185027,-0.191301,51.550179,"(51.550179, -0.191301)",Civil Enforcement Officer GPS Location,31/12/2017 03:12:27 AM,1141067
22/08/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-D,ST. CROSS STREET EC1,(Private) Car,No,Cancelled,Band A (Higher),Yes,Yes,No,Civil Enforcement Officer (CEO) Error,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531436,181930,-0.106943,51.521004,"(51.521004, -0.106943)",Civil Enforcement Officer GPS Location,31/12/2017 03:37:35 AM,1400655
20/05/2014,No,O/S TMA,On Street Contravention,19Z,Z,"Parked in a residents` or shared use parking place or zone either displaying an invalid permit or voucher or pay and display ticket, or after the expiry of paid for time - out of date permit",No,CA-P,MENELIK ROAD NW2,(Private) Car,No,Paid/Closed,Band B (Lower),No,No,No,,No,United Kingdom,No,No,E05000132,Fortune Green,524671,185455,-0.203145,51.554217,"(51.554217, -0.203145)",Civil Enforcement Officer GPS Location,31/12/2017 02:32:35 AM,690909
21/01/2015,No,O/S TMA,On Street Contravention,16,,Parked in a permit space or zone without clearly displaying a valid permit,No,CA-D,HATTON WALL EC1,(Private) Car,No,WrittenOff,Band A (Higher),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531318,182013,-0.108606,51.521772,"(51.521772, -0.108606)",Civil Enforcement Officer GPS Location,31/12/2017 02:37:31 AM,763824
29/11/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-P,INGHAM ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:35 AM,144720
05/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-H,VALE OF HEALTH NW3,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526579,186247,-0.175361,51.560904,"(51.560904, -0.175361)",Civil Enforcement Officer GPS Location,31/12/2017 03:41:06 AM,1462480
18/07/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-D,DOUGHTY STREET WC1,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000141,King's Cross,530710,182288,-0.11726,51.524384,"(51.524384, -0.11726)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:22 AM,1107662
01/07/2014,No,O/S TMA,On Street Contravention,11U,U,Parked without payment of the parking charge  - mobile phone parking,No,CA-M,ISLIP STREET NW5,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000140,Kilburn,525606,183735,-0.190275,51.538545,"(51.538545, -0.190275)",Civil Enforcement Officer GPS Location,31/12/2017 02:56:15 AM,980168
08/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-D,NEW NORTH STREET WC1,Small Van,No,Outstanding,Band A (Lower),No,No,No,,Yes,Ireland,No,No,E05000138,Holborn and Covent Garden,530574,181813,-0.119401,51.52015,"(51.52015, -0.119401)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:54 AM,1116988
14/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-D,CRESTFIELD STREET WC1,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:37:10 AM,75326
18/02/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-N,MARQUIS ROAD NW1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000131,Cantelowes,529953,184638,-0.12731,51.545682,"(51.545682, -0.12731)",Civil Enforcement Officer GPS Location,31/12/2017 03:39:01 AM,1426116
20/03/2015,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-M,BURGHLEY ROAD NW5,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:30 AM,52912
19/07/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-B,GLENLOCH ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,527282,185060,-0.165645,51.550082,"(51.550082, -0.165645)",Civil Enforcement Officer GPS Location,31/12/2017 03:32:27 AM,1384405
03/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-Q,KINGSGATE ROAD NW6,(Private) Car,No,WrittenOff,Band A (Lower),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000140,Kilburn,525299,183899,-0.194645,51.54009,"(51.54009, -0.194645)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:55 AM,1079759
03/03/2015,No,MTC,Moving Traffic Contravention,51J,J,Failing to comply with a no entry restriction - camera enforcement,Yes,CA-L,GRAFTON ROAD NW5,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:22 AM,185171
07/02/2015,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-K,MAIDA VALE W9,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,525686,183294,-0.189288,51.534564,"(51.534564, -0.189288)",Civil Enforcement Officer GPS Location,31/12/2017 03:28:05 AM,1318605
24/08/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,HAWLEY CRESCENT NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528841,184098,-0.143528,51.541085,"(51.541085, -0.143528)",Civil Enforcement Officer GPS Location,31/12/2017 03:32:36 AM,1386711
31/01/2015,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-F,HARMOOD STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000136,Haverstock,528572,184475,-0.147271,51.54453,"(51.54453, -0.147271)",Civil Enforcement Officer GPS Location,31/12/2017 03:14:19 AM,1177124
09/07/2014,No,O/S TMA,On Street Contravention,05S,S,Parked after the expiry of paid for time - Shared use bay,No,CA-J,SHARPLESHALL STREET NW1,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,527893,184105,-0.157181,51.541359,"(51.541359, -0.157181)",Civil Enforcement Officer GPS Location,31/12/2017 03:14:32 AM,1180711
09/08/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-D,MILLMAN STREET WC1,(Private) Car,No,WrittenOff,Band A (Higher),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530717,182066,-0.11725,51.522392,"(51.522392, -0.11725)",Civil Enforcement Officer GPS Location,31/12/2017 01:51:09 AM,269328
04/10/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-P,HONEYBOURNE ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000145,West Hampstead,525576,185085,-0.190226,51.550685,"(51.550685, -0.190226)",Civil Enforcement Officer GPS Location,31/12/2017 02:53:37 AM,952871
27/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-G,ROBERT STREET NW1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000142,Regent's Park,528993,182721,-0.141841,51.528674,"(51.528674, -0.141841)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:43 AM,1113726
16/05/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-R,GREENCROFT GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000144,Swiss Cottage,525914,184249,-0.185658,51.543097,"(51.543097, -0.185658)",Civil Enforcement Officer GPS Location,31/12/2017 02:53:38 AM,953064
27/12/2014,No,O/S TMA,On Street Contravention,25,,Parked in a loading place or bay during restricted hours without loading,No,CA-C,MERCER STREET WC2,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530102,181109,-0.126456,51.513934,"(51.513934, -0.126456)",Civil Enforcement Officer GPS Location,31/12/2017 02:24:38 AM,598059
22/05/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-H,HAMPSTEAD HIGH STREET NW3,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:06 AM,47989
07/09/2014,No,O/S TMA,On Street Contravention,16Q,Q,Parked in a permit space or zone without clearly displaying a valid permit - market traders` bay,No,CA-F,ARLINGTON ROAD NW1,(Private) Car,Yes,Paid/Closed,Band A (Higher),No,No,No,,Yes,France,No,No,E05000130,Camden Town with Primrose Hill,528779,183882,-0.144496,51.539154,"(51.539154, -0.144496)",Civil Enforcement Officer GPS Location,31/12/2017 02:36:50 AM,751114
03/01/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-B,HOWITT ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,527341,185048,-0.164798,51.549964,"(51.549964, -0.164798)",Civil Enforcement Officer GPS Location,31/12/2017 03:33:07 AM,1393650
